anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,13656,2285098,5.97611130901169,ILI
2024,43,13434,2287783,5.87206041831765,ILI
2024,44,12905,2304948,5.59882478910587,ILI
2024,45,16049,2337743,6.86516866909665,ILI
2024,46,17615,2363374,7.45332731933245,ILI
2024,47,19192,2373787,8.0849713980235,ILI
2024,48,20341,2364906,8.60118753134374,ILI
2024,49,21575,2369821,9.10406313388226,ILI
2024,50,24307,2369366,10.2588624973938,ILI
2024,51,25460,2354916,10.8114259701832,ILI
2024,52,24241,2286573,10.6014546660002,ILI
2025,1,28840,2312242,12.4727429049382,ILI
2025,2,35654,2365515,15.0724049519872,ILI
2025,3,38120,2350997,16.2143975513367,ILI
2025,4,40963,2335144,17.5419588684895,ILI
2025,5,39461,2324908,16.973144743792,ILI
2025,6,34642,2276010,15.2204955162763,ILI
2025,7,31596,2239630,14.1076874305131,ILI
2025,8,27955,2178494,12.8322593498077,ILI
2025,9,22557,2051453,10.9956211524222,ILI
2025,10,15639,1669203,9.36914203964407,ILI
