anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,1175,178294,6.5902385946807,ILI
2024,43,1158,176076,6.57670551352825,ILI
2024,44,977,174431,5.60106861739026,ILI
2024,45,1368,179768,7.60980819723199,ILI
2024,46,1420,184235,7.707547425842,ILI
2024,47,1523,184604,8.25009208901216,ILI
2024,48,1486,178736,8.31393787485453,ILI
2024,49,1772,182164,9.72749829823675,ILI
2024,50,1883,182749,10.3037499521201,ILI
2024,51,1751,180608,9.69503012048193,ILI
2024,52,1690,172058,9.82226923479292,ILI
2025,1,1820,176899,10.2883566328809,ILI
2025,2,2335,180916,12.9065422627076,ILI
2025,3,3028,179095,16.9072280074821,ILI
2025,4,3642,182397,19.967433674896,ILI
2025,5,3541,180895,19.5748915116504,ILI
2025,6,3222,181399,17.7619501761311,ILI
2025,7,2839,178707,15.8863390913618,ILI
2025,8,2459,180175,13.6478423754683,ILI
2025,9,2110,180784,11.6713868483937,ILI
2025,10,1739,174699,9.95426419155233,ILI
2025,11,1479,173521,8.5234640187643,ILI
2025,12,1157,168542,6.86475774584377,ILI
2025,13,1026,163829,6.26262749574251,ILI
2025,14,850,156084,5.44578560262423,ILI
2025,15,808,148606,5.43719634469671,ILI
2025,16,508,120291,4.22309233442236,ILI
2025,17,307,98064,3.13060858215043,ILI
