anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,113,45648,2.47546442341395,ILI
2024,43,183,45648,4.00893796004206,ILI
2024,44,202,45648,4.42516649141255,ILI
2024,45,261,45632,5.71967040673212,ILI
2024,46,249,48267,5.15880415190503,ILI
2024,47,336,46748,7.18747326088817,ILI
2024,48,494,48481,10.1895587962295,ILI
2024,49,495,46332,10.6837606837607,ILI
2024,50,708,38886,18.2070668106774,ILI
2024,51,746,36757,20.2954539271431,ILI
2024,52,721,34947,20.6312415944144,ILI
2025,1,586,24469,23.9486697453921,ILI
