anno,settimana,incidenza,target
2024,46,0.3133,ILI+_FLU_A
2024,47,0.3732,ILI+_FLU_A
2024,48,0.5204,ILI+_FLU_A
2024,49,0.6417,ILI+_FLU_A
2024,50,1.1837,ILI+_FLU_A
2024,51,1.9677,ILI+_FLU_A
2024,52,2.8253,ILI+_FLU_A
2025,1,4.8842,ILI+_FLU_A
2025,2,7.0078,ILI+_FLU_A
2025,3,7.3347,ILI+_FLU_A
2025,4,7.8025,ILI+_FLU_A
2025,5,7.161,ILI+_FLU_A
2025,6,5.3028,ILI+_FLU_A
2025,7,4.4778,ILI+_FLU_A
2025,8,3.5158,ILI+_FLU_A
2025,9,3.0855,ILI+_FLU_A
2025,10,2.4187,ILI+_FLU_A
2025,11,1.7642,ILI+_FLU_A
2025,12,1.4405,ILI+_FLU_A
2025,13,0.9585,ILI+_FLU_A
2025,14,0.7312,ILI+_FLU_A
2025,15,0.4726,ILI+_FLU_A
