anno,settimana,incidenza,target
2024,46,0.3131,ILI+_FLU_A
2024,47,0.3728,ILI+_FLU_A
2024,48,0.5199,ILI+_FLU_A
2024,49,0.6411,ILI+_FLU_A
2024,50,1.1821,ILI+_FLU_A
2024,51,1.9652,ILI+_FLU_A
2024,52,2.8205,ILI+_FLU_A
2025,1,4.8727,ILI+_FLU_A
2025,2,6.993,ILI+_FLU_A
2025,3,7.3192,ILI+_FLU_A
2025,4,7.786,ILI+_FLU_A
2025,5,7.1396,ILI+_FLU_A
2025,6,5.2877,ILI+_FLU_A
2025,7,4.4645,ILI+_FLU_A
2025,8,3.5067,ILI+_FLU_A
2025,9,3.076,ILI+_FLU_A
2025,10,2.4085,ILI+_FLU_A
2025,11,1.7569,ILI+_FLU_A
2025,12,1.4337,ILI+_FLU_A
2025,13,0.9587,ILI+_FLU_A
2025,14,0.7256,ILI+_FLU_A
2025,15,0.5668,ILI+_FLU_A
2025,16,0.4779,ILI+_FLU_A
