anno,settimana,incidenza,target
2024,46,0.3138,ILI+_FLU_A
2024,47,0.3736,ILI+_FLU_A
2024,48,0.5213,ILI+_FLU_A
2024,49,0.6424,ILI+_FLU_A
2024,50,1.1856,ILI+_FLU_A
2024,51,1.9701,ILI+_FLU_A
2024,52,2.8279,ILI+_FLU_A
2025,1,4.891,ILI+_FLU_A
2025,2,7.0231,ILI+_FLU_A
2025,3,7.3535,ILI+_FLU_A
2025,4,7.816,ILI+_FLU_A
2025,5,7.1769,ILI+_FLU_A
2025,6,5.2618,ILI+_FLU_A
2025,7,4.4423,ILI+_FLU_A
2025,8,3.4659,ILI+_FLU_A
2025,9,3.0413,ILI+_FLU_A
2025,10,2.3912,ILI+_FLU_A
2025,11,1.7235,ILI+_FLU_A
2025,12,1.3525,ILI+_FLU_A
