anno,settimana,incidenza,target
2024,46,0.3133,ILI+_FLU_A
2024,47,0.3731,ILI+_FLU_A
2024,48,0.5203,ILI+_FLU_A
2024,49,0.6413,ILI+_FLU_A
2024,50,1.1831,ILI+_FLU_A
2024,51,1.9671,ILI+_FLU_A
2024,52,2.8239,ILI+_FLU_A
2025,1,4.8829,ILI+_FLU_A
2025,2,7.0056,ILI+_FLU_A
2025,3,7.3388,ILI+_FLU_A
2025,4,7.801,ILI+_FLU_A
2025,5,7.1623,ILI+_FLU_A
2025,6,5.3063,ILI+_FLU_A
2025,7,4.4797,ILI+_FLU_A
2025,8,3.5039,ILI+_FLU_A
2025,9,3.0761,ILI+_FLU_A
2025,10,2.4012,ILI+_FLU_A
2025,11,1.7648,ILI+_FLU_A
2025,12,1.4584,ILI+_FLU_A
2025,13,0.934,ILI+_FLU_A
