anno,settimana,incidenza,target
2024,46,0.0626,ILI+_FLU_B
2024,47,0.0894,ILI+_FLU_B
2024,48,0.1517,ILI+_FLU_B
2024,49,0.1955,ILI+_FLU_B
2024,50,0.3582,ILI+_FLU_B
2024,51,0.5885,ILI+_FLU_B
2024,52,0.7881,ILI+_FLU_B
2025,1,1.0583,ILI+_FLU_B
2025,2,1.4983,ILI+_FLU_B
2025,3,1.9628,ILI+_FLU_B
2025,4,2.9045,ILI+_FLU_B
2025,5,3.2478,ILI+_FLU_B
2025,6,3.1335,ILI+_FLU_B
2025,7,3.2393,ILI+_FLU_B
2025,8,2.859,ILI+_FLU_B
2025,9,2.6503,ILI+_FLU_B
2025,10,1.9982,ILI+_FLU_B
2025,11,1.7588,ILI+_FLU_B
2025,12,1.0945,ILI+_FLU_B
2025,13,0.6665,ILI+_FLU_B
2025,14,0.6515,ILI+_FLU_B
2025,15,0.3668,ILI+_FLU_B
2025,16,0.2254,ILI+_FLU_B
2025,17,0.1039,ILI+_FLU_B
