anno,settimana,incidenza,target
2024,46,0.0628,ILI+_FLU_B
2024,47,0.0897,ILI+_FLU_B
2024,48,0.1526,ILI+_FLU_B
2024,49,0.196,ILI+_FLU_B
2024,50,0.3593,ILI+_FLU_B
2024,51,0.59,ILI+_FLU_B
2024,52,0.7901,ILI+_FLU_B
2025,1,1.0633,ILI+_FLU_B
2025,2,1.505,ILI+_FLU_B
2025,3,1.9736,ILI+_FLU_B
2025,4,2.9211,ILI+_FLU_B
2025,5,3.2743,ILI+_FLU_B
2025,6,3.1189,ILI+_FLU_B
2025,7,3.2313,ILI+_FLU_B
2025,8,2.8317,ILI+_FLU_B
2025,9,2.6208,ILI+_FLU_B
2025,10,1.9765,ILI+_FLU_B
2025,11,1.7174,ILI+_FLU_B
2025,12,1.1295,ILI+_FLU_B
