anno,settimana,incidenza,numero_casi,numero_assistiti,target
2007,42,0.19,209,1075194,ILI
2007,43,0.32,353,1112987,ILI
2007,44,0.26,290,1133791,ILI
2007,45,0.41,477,1172206,ILI
2007,46,0.51,608,1191998,ILI
2007,47,0.61,729,1197422,ILI
2007,48,0.79,914,1157504,ILI
2007,49,0.89,1079,1206693,ILI
2007,50,1.2,1444,1198903,ILI
2007,51,1.89,2224,1175626,ILI
2007,52,2.92,3126,1070366,ILI
2008,1,4.56,5468,1198250,ILI
2008,2,5.98,7390,1234887,ILI
2008,3,6.54,8017,1225495,ILI
2008,4,6.95,8346,1200731,ILI
2008,5,7.21,8701,1206563,ILI
2008,6,6.95,8287,1192437,ILI
2008,7,6.61,7839,1185316,ILI
2008,8,6.32,7421,1174934,ILI
