anno,settimana,incidenza,numero_casi,numero_assistiti
2010,42,0.72,834,1158321
2010,43,0.81,1085,1345810
2010,44,0.82,1122,1375503
2010,45,0.94,1315,1396468
2010,46,1.07,1514,1409976
2010,47,1.28,1801,1409016
2010,48,1.42,1995,1409379
2010,49,1.71,2423,1415655
2010,50,2.32,3315,1430177
2010,51,3.16,4369,1380714
2010,52,4.4,6108,1389759
2011,01,4.98,7074,1419612
2011,02,6.44,9426,1462949
2011,03,8.2,11946,1456258
2011,04,10.41,14950,1435437
2011,05,11.04,15940,1444480
2011,06,10.05,14308,1423688
2011,07,7.77,10849,1396634
2011,08,5.45,7503,1375522
2011,09,4.12,5594,1358931
2011,10,3.1,4075,1315090
2011,11,2.1,2723,1296669
2011,12,1.63,2072,1267894
2011,13,1.14,1397,1227822
2011,14,0.94,1096,1169795
2011,15,0.82,926,1132491
2011,16,0.67,690,1026856
2011,17,0.52,412,785802
