target,orizzonte,luogo,tipo_valore,id_valore,valore,settimana,anno
ILI,-1,IT,quantile,0.01,5.241413509863631,16,2025
ILI,0,IT,quantile,0.01,4.9590043624247855,16,2025
ILI,1,IT,quantile,0.01,4.792878586638389,16,2025
ILI,2,IT,quantile,0.01,4.681585454059768,16,2025
ILI,3,IT,quantile,0.01,4.608147349873146,16,2025
ILI,4,IT,quantile,0.01,4.562832025189864,16,2025
ILI,-1,IT,quantile,0.025,5.297759194696489,16,2025
ILI,0,IT,quantile,0.025,5.015133262889593,16,2025
ILI,1,IT,quantile,0.025,4.824517687276449,16,2025
ILI,2,IT,quantile,0.025,4.699960000077437,16,2025
ILI,3,IT,quantile,0.025,4.625052249295506,16,2025
ILI,4,IT,quantile,0.025,4.5774453680597205,16,2025
ILI,-1,IT,quantile,0.05,5.342051196401362,16,2025
ILI,0,IT,quantile,0.05,5.058532946557429,16,2025
ILI,1,IT,quantile,0.05,4.867735720206417,16,2025
ILI,2,IT,quantile,0.05,4.73486936936641,16,2025
ILI,3,IT,quantile,0.05,4.644237675207152,16,2025
ILI,4,IT,quantile,0.05,4.5932688834727005,16,2025
ILI,-1,IT,quantile,0.1,5.399433162652671,16,2025
ILI,0,IT,quantile,0.1,5.111236334645398,16,2025
ILI,1,IT,quantile,0.1,4.905565708619559,16,2025
ILI,2,IT,quantile,0.1,4.773184260835672,16,2025
ILI,3,IT,quantile,0.1,4.687144177261831,16,2025
ILI,4,IT,quantile,0.1,4.6254260167677765,16,2025
ILI,-1,IT,quantile,0.15,5.440632780732601,16,2025
ILI,0,IT,quantile,0.15,5.139680639909504,16,2025
ILI,1,IT,quantile,0.15,4.9336635831865685,16,2025
ILI,2,IT,quantile,0.15,4.792802625881249,16,2025
ILI,3,IT,quantile,0.15,4.702761560574487,16,2025
ILI,4,IT,quantile,0.15,4.64060635925476,16,2025
ILI,-1,IT,quantile,0.2,5.471298457258298,16,2025
ILI,0,IT,quantile,0.2,5.161900455720302,16,2025
ILI,1,IT,quantile,0.2,4.954549082272126,16,2025
ILI,2,IT,quantile,0.2,4.815195197373859,16,2025
ILI,3,IT,quantile,0.2,4.713385746677016,16,2025
ILI,4,IT,quantile,0.2,4.653129359460922,16,2025
ILI,-1,IT,quantile,0.25,5.497059843742676,16,2025
ILI,0,IT,quantile,0.25,5.190801088371914,16,2025
ILI,1,IT,quantile,0.25,4.980141823578551,16,2025
ILI,2,IT,quantile,0.25,4.826180432479652,16,2025
ILI,3,IT,quantile,0.25,4.729728520627643,16,2025
ILI,4,IT,quantile,0.25,4.669366030417611,16,2025
ILI,-1,IT,quantile,0.3,5.5223296469459955,16,2025
ILI,0,IT,quantile,0.3,5.214972857912703,16,2025
ILI,1,IT,quantile,0.3,4.995421255560495,16,2025
ILI,2,IT,quantile,0.3,4.845839269750787,16,2025
ILI,3,IT,quantile,0.3,4.747967485918407,16,2025
ILI,4,IT,quantile,0.3,4.681536023684457,16,2025
ILI,-1,IT,quantile,0.35,5.5452104029483635,16,2025
ILI,0,IT,quantile,0.35,5.236202656359613,16,2025
ILI,1,IT,quantile,0.35,5.017170245539107,16,2025
ILI,2,IT,quantile,0.35,4.865153646872937,16,2025
ILI,3,IT,quantile,0.35,4.761575997207487,16,2025
ILI,4,IT,quantile,0.35,4.6963163677577,16,2025
ILI,-1,IT,quantile,0.4,5.565373469638346,16,2025
ILI,0,IT,quantile,0.4,5.251257238479134,16,2025
ILI,1,IT,quantile,0.4,5.033693137418157,16,2025
ILI,2,IT,quantile,0.4,4.883539340121378,16,2025
ILI,3,IT,quantile,0.4,4.7754817834488135,16,2025
ILI,4,IT,quantile,0.4,4.708667338192686,16,2025
ILI,-1,IT,quantile,0.45,5.587684251231585,16,2025
ILI,0,IT,quantile,0.45,5.266831624665395,16,2025
ILI,1,IT,quantile,0.45,5.04722645319361,16,2025
ILI,2,IT,quantile,0.45,4.894092542942952,16,2025
ILI,3,IT,quantile,0.45,4.786822524691474,16,2025
ILI,4,IT,quantile,0.45,4.723172831096309,16,2025
ILI,-1,IT,quantile,0.5,5.602385699271232,16,2025
ILI,0,IT,quantile,0.5,5.289183738297147,16,2025
ILI,1,IT,quantile,0.5,5.0642394245307205,16,2025
ILI,2,IT,quantile,0.5,4.905930983945857,16,2025
ILI,3,IT,quantile,0.5,4.80928821507197,16,2025
ILI,4,IT,quantile,0.5,4.744518522869324,16,2025
ILI,-1,IT,quantile,0.55,5.6215266693531944,16,2025
ILI,0,IT,quantile,0.55,5.309184321669805,16,2025
ILI,1,IT,quantile,0.55,5.081029476706837,16,2025
ILI,2,IT,quantile,0.55,4.9211523291019,16,2025
ILI,3,IT,quantile,0.55,4.826349258957683,16,2025
ILI,4,IT,quantile,0.55,4.764966820465635,16,2025
ILI,-1,IT,quantile,0.6,5.636000580326566,16,2025
ILI,0,IT,quantile,0.6,5.32284433272264,16,2025
ILI,1,IT,quantile,0.6,5.098250722781155,16,2025
ILI,2,IT,quantile,0.6,4.947006105260609,16,2025
ILI,3,IT,quantile,0.6,4.845461748256919,16,2025
ILI,4,IT,quantile,0.6,4.786256031388645,16,2025
ILI,-1,IT,quantile,0.65,5.658881477132346,16,2025
ILI,0,IT,quantile,0.65,5.334385033058944,16,2025
ILI,1,IT,quantile,0.65,5.11027838356,16,2025
ILI,2,IT,quantile,0.65,4.960415523837368,16,2025
ILI,3,IT,quantile,0.65,4.866532044229545,16,2025
ILI,4,IT,quantile,0.65,4.806886042351381,16,2025
ILI,-1,IT,quantile,0.7,5.6731828636692025,16,2025
ILI,0,IT,quantile,0.7,5.349073595565082,16,2025
ILI,1,IT,quantile,0.7,5.12892556730577,16,2025
ILI,2,IT,quantile,0.7,4.979798884704752,16,2025
ILI,3,IT,quantile,0.7,4.882782823559623,16,2025
ILI,4,IT,quantile,0.7,4.827947506177981,16,2025
ILI,-1,IT,quantile,0.75,5.693923937709915,16,2025
ILI,0,IT,quantile,0.75,5.370069855977009,16,2025
ILI,1,IT,quantile,0.75,5.147431163876084,16,2025
ILI,2,IT,quantile,0.75,5.001126220093384,16,2025
ILI,3,IT,quantile,0.75,4.907484721296709,16,2025
ILI,4,IT,quantile,0.75,4.854522797392193,16,2025
ILI,-1,IT,quantile,0.8,5.720331707358133,16,2025
ILI,0,IT,quantile,0.8,5.390630233920136,16,2025
ILI,1,IT,quantile,0.8,5.168927983735688,16,2025
ILI,2,IT,quantile,0.8,5.031076965889813,16,2025
ILI,3,IT,quantile,0.8,4.941160330998439,16,2025
ILI,4,IT,quantile,0.8,4.891544932410192,16,2025
ILI,-1,IT,quantile,0.85,5.74032488114817,16,2025
ILI,0,IT,quantile,0.85,5.414181131911602,16,2025
ILI,1,IT,quantile,0.85,5.199785973241211,16,2025
ILI,2,IT,quantile,0.85,5.063619418056432,16,2025
ILI,3,IT,quantile,0.85,4.979538542888935,16,2025
ILI,4,IT,quantile,0.85,4.919462720572104,16,2025
ILI,-1,IT,quantile,0.9,5.755552286810893,16,2025
ILI,0,IT,quantile,0.9,5.437540050296414,16,2025
ILI,1,IT,quantile,0.9,5.228093664039051,16,2025
ILI,2,IT,quantile,0.9,5.091680426960814,16,2025
ILI,3,IT,quantile,0.9,5.006558051345231,16,2025
ILI,4,IT,quantile,0.9,4.957096392199455,16,2025
ILI,-1,IT,quantile,0.95,5.787058671185963,16,2025
