anno,settimana,incidenza,numero_casi,numero_assistiti
2013,43,0.0,0.0,8043.0
2013,44,0.16,2.0,12130.0
2013,45,0.41,5.0,12084.0
2013,46,0.53,7.0,13155.0
2013,47,0.84,11.0,13150.0
2013,48,1.33,11.0,8251.0
2013,49,0.73,12.0,16496.0
