anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,51.0,5.55,9190,ARI
2025,44,111.0,14.37,7722,ARI
2025,45,91.0,6.35,14341,ARI
2025,46,92.0,5.64,16301,ARI
2025,47,73.0,4.77,15317,ARI
2025,48,118.0,6.61,17841,ARI
2025,49,143.0,8.61,16600,ARI
2025,50,174.0,9.71,17917,ARI
2025,51,172.0,9.84,17480,ARI
2025,52,116.0,10.16,11412,ARI
2026,1,129.0,10.16,12703,ARI
2026,2,123.0,7.78,15812,ARI
2026,3,120.0,6.63,18095,ARI
2026,04,226.0,11.06,20435,ARI
