anno,settimana,numero_casi,numero_assistiti,incidenza,target
2025,42,18463,2592423,7.12,ARI
2025,43,18982,2618960,7.25,ARI
2025,44,19676,2648852,7.43,ARI
2025,45,20961,2673735,7.84,ARI
2025,46,22917,2702081,8.48,ARI
2025,47,25594,2709361,9.45,ARI
2025,48,29223,2717750,10.75,ARI
2025,49,35296,2716404,12.99,ARI
2025,50,40343,2709002,14.89,ARI
2025,51,46830,2690857,17.4,ARI
2025,52,39081,2610078,14.97,ARI
2026,01,38924,2582523,15.07,ARI
2026,02,37686,2659200,14.17,ARI
2026,03,34204,2651525,12.9,ARI
2026,04,29983,2598527,11.54,ARI
2026,05,26131,2505088,10.43,ARI
2026,06,22547,2334049,9.66,ARI
2026,07,14346,1668666,8.6,ARI
