anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,141.0,10.64,13251,ARI
2025,44,161.0,8.08,19934,ARI
2025,45,224.0,8.05,27812,ARI
2025,46,187.0,7.46,25068,ARI
2025,47,246.0,8.98,27397,ARI
2025,48,235.0,9.8,23983,ARI
2025,49,255.0,12.59,20254,ARI
2025,50,246.0,12.31,19990,ARI
2025,51,441.0,23.6,18687,ARI
2025,52,335.0,17.05,19647,ARI
2026,1,415.0,18.52,22411,ARI
2026,02,335.0,13.79,24297,ARI
