anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,856.0,7.58,112963,ARI
2025,44,924.0,7.42,124500,ARI
2025,45,1071.0,7.62,140526,ARI
2025,46,1310.0,8.5,154046,ARI
2025,47,1457.0,8.81,165395,ARI
2025,48,1860.0,10.65,174688,ARI
2025,49,1810.0,13.5,134118,ARI
2025,50,2629.0,15.96,164751,ARI
2025,51,2613.0,19.29,135425,ARI
2025,52,1810.0,15.07,120108,ARI
2026,1,1358.0,13.43,101154,ARI
2026,02,1813.0,12.47,145447,ARI
