anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,7.0,2.08,3366,ARI
2025,44,56.0,5.55,10083,ARI
2025,45,46.0,5.06,9091,ARI
2025,46,56.0,6.74,8307,ARI
2025,47,50.0,6.02,8307,ARI
2025,48,85.0,8.34,10195,ARI
2025,49,116.0,12.76,9091,ARI
2025,50,143.0,13.75,10403,ARI
2025,51,112.0,13.48,8307,ARI
2025,52,51.0,9.88,5163,ARI
2026,1,30.0,8.9,3370,ARI
2026,2,71.0,9.19,7726,ARI
2026,3,71.0,7.64,9299,ARI
2026,4,62.0,7.46,8307,ARI
2026,05,80.0,9.63,8307,ARI
