anno,settimana,incidenza,target
2024,46,0.3152,ILI+_FLU_A
2024,47,0.375,ILI+_FLU_A
2024,48,0.5232,ILI+_FLU_A
2024,49,0.6448,ILI+_FLU_A
2024,50,1.1921,ILI+_FLU_A
2024,51,1.9782,ILI+_FLU_A
2024,52,2.8333,ILI+_FLU_A
2025,1,4.907,ILI+_FLU_A
2025,2,7.0436,ILI+_FLU_A
2025,3,7.3625,ILI+_FLU_A
2025,4,7.8386,ILI+_FLU_A
2025,5,7.1965,ILI+_FLU_A
2025,6,5.2765,ILI+_FLU_A
2025,7,4.4186,ILI+_FLU_A
2025,8,3.4181,ILI+_FLU_A
2025,9,3.0054,ILI+_FLU_A
2025,10,2.3459,ILI+_FLU_A
