anno,settimana,incidenza,numero_casi,numero_assistiti,target
2004,42,0.25,210,845492,ILI
2004,43,0.37,332,907066,ILI
2004,44,0.29,284,985895,ILI
2004,45,0.37,386,1054900,ILI
2004,46,0.46,508,1095060,ILI
2004,47,0.64,715,1118847,ILI
2004,48,0.65,739,1128794,ILI
2004,49,0.78,869,1118415,ILI
2004,50,0.84,956,1135350,ILI
2004,51,1.24,1402,1130134,ILI
2004,52,1.78,1989,1116857,ILI
2004,53,2.9,3195,1102496,ILI
2005,1,3.49,3901,1116650,ILI
2005,2,5.07,5749,1135002,ILI
2005,3,7.89,8926,1131789,ILI
2005,4,11.34,12797,1128454,ILI
