anno,settimana,incidenza,numero_casi,numero_assistiti
2016,42,0.59,711,1195202
2016,43,0.71,910,1278606
2016,44,0.81,1084,1337438
2016,45,0.98,1340,1368032
2016,46,1.25,1726,1378292
2016,47,1.58,2178,1376418
2016,48,2.0,2727,1362363
2016,49,2.52,3447,1369108
2016,50,4.31,6080,1410698
2016,51,7.24,9781,1351057
2016,52,9.57,13051,1364195
2017,01,9.09,12178,1340131
2017,02,8.7,11961,1374557
2017,03,7.61,10486,1377649
2017,04,6.61,8996,1360334
2017,05,5.64,7649,1357172
2017,06,4.25,5652,1328704
2017,07,3.19,4203,1315730
2017,08,2.64,3437,1303076
