anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,17,IT,quantile,0.01,-1,2.7236370825735032,ILI
2025,17,IT,quantile,0.01,0,2.0120387666573003,ILI
2025,17,IT,quantile,0.01,1,1.4664903098696838,ILI
2025,17,IT,quantile,0.01,2,1.0547002552097928,ILI
2025,17,IT,quantile,0.01,3,0.7515642185559207,ILI
2025,17,IT,quantile,0.01,4,0.5321175536676129,ILI
2025,17,IT,quantile,0.025,-1,2.74233376714432,ILI
2025,17,IT,quantile,0.025,0,2.03836389413106,ILI
2025,17,IT,quantile,0.025,1,1.4912992345995242,ILI
2025,17,IT,quantile,0.025,2,1.0781044722103472,ILI
2025,17,IT,quantile,0.025,3,0.767932448607703,ILI
2025,17,IT,quantile,0.025,4,0.5470713229503116,ILI
2025,17,IT,quantile,0.05,-1,2.7819576923888683,ILI
2025,17,IT,quantile,0.05,0,2.0743313998565878,ILI
2025,17,IT,quantile,0.05,1,1.5178497737074224,ILI
2025,17,IT,quantile,0.05,2,1.0985868283208469,ILI
2025,17,IT,quantile,0.05,3,0.7918893468203321,ILI
2025,17,IT,quantile,0.05,4,0.5673421849646267,ILI
2025,17,IT,quantile,0.1,-1,2.823392375215488,ILI
2025,17,IT,quantile,0.1,0,2.138605192801049,ILI
2025,17,IT,quantile,0.1,1,1.587653891823332,ILI
2025,17,IT,quantile,0.1,2,1.1591170159214648,ILI
2025,17,IT,quantile,0.1,3,0.8352362868747244,ILI
2025,17,IT,quantile,0.1,4,0.599086028963188,ILI
2025,17,IT,quantile,0.15,-1,2.869902918396673,ILI
2025,17,IT,quantile,0.15,0,2.191569761655966,ILI
2025,17,IT,quantile,0.15,1,1.636082404162301,ILI
2025,17,IT,quantile,0.15,2,1.2035925828973064,ILI
2025,17,IT,quantile,0.15,3,0.8730062037503197,ILI
2025,17,IT,quantile,0.15,4,0.6270243165865967,ILI
2025,17,IT,quantile,0.2,-1,2.9111181351309314,ILI
2025,17,IT,quantile,0.2,0,2.229904249906897,ILI
2025,17,IT,quantile,0.2,1,1.6783360218014791,ILI
2025,17,IT,quantile,0.2,2,1.23812504616461,ILI
2025,17,IT,quantile,0.2,3,0.8986974940701253,ILI
2025,17,IT,quantile,0.2,4,0.6473408868552218,ILI
2025,17,IT,quantile,0.25,-1,2.952415814026907,ILI
2025,17,IT,quantile,0.25,0,2.2672628511407367,ILI
2025,17,IT,quantile,0.25,1,1.7181644128673452,ILI
2025,17,IT,quantile,0.25,2,1.2931457451311081,ILI
2025,17,IT,quantile,0.25,3,0.954616540513632,ILI
2025,17,IT,quantile,0.25,4,0.6894824987261761,ILI
2025,17,IT,quantile,0.3,-1,2.993342665227136,ILI
2025,17,IT,quantile,0.3,0,2.312975664738538,ILI
2025,17,IT,quantile,0.3,1,1.7692671719340316,ILI
2025,17,IT,quantile,0.3,2,1.3320245627780907,ILI
2025,17,IT,quantile,0.3,3,0.993655647306812,ILI
2025,17,IT,quantile,0.3,4,0.7341077956462776,ILI
2025,17,IT,quantile,0.35,-1,3.03144690927998,ILI
2025,17,IT,quantile,0.35,0,2.3552725522578424,ILI
2025,17,IT,quantile,0.35,1,1.8095113567733225,ILI
2025,17,IT,quantile,0.35,2,1.3657522413614616,ILI
2025,17,IT,quantile,0.35,3,1.0240287628656997,ILI
2025,17,IT,quantile,0.35,4,0.7613760190904358,ILI
2025,17,IT,quantile,0.4,-1,3.075405808637629,ILI
2025,17,IT,quantile,0.4,0,2.390597333385189,ILI
2025,17,IT,quantile,0.4,1,1.839197318428739,ILI
2025,17,IT,quantile,0.4,2,1.4006707622216843,ILI
2025,17,IT,quantile,0.4,3,1.054528475468735,ILI
2025,17,IT,quantile,0.4,4,0.7881198711471109,ILI
2025,17,IT,quantile,0.45,-1,3.113205680067147,ILI
2025,17,IT,quantile,0.45,0,2.428616180184299,ILI
2025,17,IT,quantile,0.45,1,1.869995180813181,ILI
2025,17,IT,quantile,0.45,2,1.4386684761983446,ILI
2025,17,IT,quantile,0.45,3,1.085096075864258,ILI
2025,17,IT,quantile,0.45,4,0.8159160454967538,ILI
2025,17,IT,quantile,0.5,-1,3.146752006786979,ILI
2025,17,IT,quantile,0.5,0,2.4685694642693874,ILI
2025,17,IT,quantile,0.5,1,1.9129772030030145,ILI
2025,17,IT,quantile,0.5,2,1.468288405391504,ILI
2025,17,IT,quantile,0.5,3,1.1168250370698596,ILI
2025,17,IT,quantile,0.5,4,0.8428432220476588,ILI
2025,17,IT,quantile,0.55,-1,3.185952088232047,ILI
2025,17,IT,quantile,0.55,0,2.5091309122578567,ILI
2025,17,IT,quantile,0.55,1,1.956058654361232,ILI
2025,17,IT,quantile,0.55,2,1.504166216799102,ILI
2025,17,IT,quantile,0.55,3,1.1514285215826587,ILI
2025,17,IT,quantile,0.55,4,0.8778454429881656,ILI
2025,17,IT,quantile,0.6,-1,3.253106730508004,ILI
2025,17,IT,quantile,0.6,0,2.5549182579597893,ILI
2025,17,IT,quantile,0.6,1,1.998950907853094,ILI
2025,17,IT,quantile,0.6,2,1.5531401058038612,ILI
2025,17,IT,quantile,0.6,3,1.209936582794344,ILI
