,anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
0,2023,46,01,quantile,0.01,1,7.732208614130572
1,2023,46,01,quantile,0.01,2,7.785447708599939
2,2023,46,01,quantile,0.01,3,6.466923324328901
3,2023,46,01,quantile,0.01,4,5.592372877078281
4,2023,46,02,quantile,0.01,1,5.938208614130572
5,2023,46,02,quantile,0.01,2,5.715447708599941
6,2023,46,02,quantile,0.01,3,4.327923324328902
7,2023,46,02,quantile,0.01,4,3.494772877078283
8,2023,46,03,quantile,0.01,1,5.938208614130572
9,2023,46,03,quantile,0.01,2,5.715447708599941
10,2023,46,03,quantile,0.01,3,4.327923324328902
11,2023,46,03,quantile,0.01,4,3.494772877078283
12,2023,46,04,quantile,0.01,1,4.170208614130571
13,2023,46,04,quantile,0.01,2,3.67544770859994
14,2023,46,04,quantile,0.01,3,2.219923324328901
15,2023,46,04,quantile,0.01,4,1.4275728770782816
16,2023,46,05,quantile,0.01,1,7.329208614130572
17,2023,46,05,quantile,0.01,2,7.320447708599939
18,2023,46,05,quantile,0.01,3,5.986423324328902
19,2023,46,05,quantile,0.01,4,5.121172877078282
20,2023,46,06,quantile,0.01,1,0.0
21,2023,46,06,quantile,0.01,2,0.0
22,2023,46,06,quantile,0.01,3,0.0
23,2023,46,06,quantile,0.01,4,0.0
24,2023,46,IT,quantile,0.01,1,5.938208614130572
25,2023,46,IT,quantile,0.01,2,5.715447708599941
26,2023,46,IT,quantile,0.01,3,4.327923324328902
27,2023,46,IT,quantile,0.01,4,3.494772877078283
28,2023,46,07,quantile,0.01,1,3.572208614130571
29,2023,46,07,quantile,0.01,2,2.98544770859994
30,2023,46,07,quantile,0.01,3,1.506923324328902
31,2023,46,07,quantile,0.01,4,0.7283728770782822
32,2023,46,08,quantile,0.01,1,6.445208614130571
33,2023,46,08,quantile,0.01,2,6.30044770859994
34,2023,46,08,quantile,0.01,3,4.9324233243289015
35,2023,46,08,quantile,0.01,4,4.087572877078282
36,2023,46,09,quantile,0.01,1,10.137208614130572
37,2023,46,09,quantile,0.01,2,10.560447708599938
38,2023,46,09,quantile,0.01,3,9.3344233243289
39,2023,46,09,quantile,0.01,4,8.404372877078282
40,2023,46,10,quantile,0.01,1,4.677208614130571
41,2023,46,10,quantile,0.01,2,4.260447708599939
42,2023,46,10,quantile,0.01,3,2.824423324328901
43,2023,46,10,quantile,0.01,4,2.020372877078282
44,2023,46,11,quantile,0.01,1,0.0
45,2023,46,11,quantile,0.01,2,0.0
46,2023,46,11,quantile,0.01,3,0.0
47,2023,46,11,quantile,0.01,4,0.0
48,2023,46,14,quantile,0.01,1,8.486208614130572
49,2023,46,14,quantile,0.01,2,8.65544770859994
50,2023,46,14,quantile,0.01,3,7.365923324328902
51,2023,46,14,quantile,0.01,4,6.473972877078282
52,2023,46,15,quantile,0.01,1,2.636208614130571
53,2023,46,15,quantile,0.01,2,1.90544770859994
54,2023,46,15,quantile,0.01,3,0.3909233243289014
55,2023,46,15,quantile,0.01,4,0.0
56,2023,46,16,quantile,0.01,1,1.7912086141305714
57,2023,46,16,quantile,0.01,2,0.9304477085999396
58,2023,46,16,quantile,0.01,3,0.0
59,2023,46,16,quantile,0.01,4,0.0
60,2023,46,17,quantile,0.01,1,3.481208614130571
61,2023,46,17,quantile,0.01,2,2.88044770859994
62,2023,46,17,quantile,0.01,3,1.3984233243289008
63,2023,46,17,quantile,0.01,4,0.6219728770782815
64,2023,46,18,quantile,0.01,1,3.468208614130571
65,2023,46,18,quantile,0.01,2,2.8654477085999392
66,2023,46,18,quantile,0.01,3,1.3829233243289014
67,2023,46,18,quantile,0.01,4,0.6067728770782814
68,2023,46,12,quantile,0.01,1,5.938208614130572
69,2023,46,12,quantile,0.01,2,5.715447708599941
70,2023,46,12,quantile,0.01,3,4.327923324328902
71,2023,46,12,quantile,0.01,4,3.494772877078283
72,2023,46,13,quantile,0.01,1,4.469208614130572
73,2023,46,13,quantile,0.01,2,4.02044770859994
74,2023,46,13,quantile,0.01,3,2.5764233243289016
75,2023,46,13,quantile,0.01,4,1.7771728770782822
76,2023,46,19,quantile,0.01,1,2.454208614130571
77,2023,46,19,quantile,0.01,2,1.695447708599939
78,2023,46,19,quantile,0.01,3,0.1739233243289009
79,2023,46,19,quantile,0.01,4,0.0
80,2023,46,20,quantile,0.01,1,5.938208614130572
81,2023,46,20,quantile,0.01,2,5.715447708599941
82,2023,46,20,quantile,0.01,3,4.327923324328902
83,2023,46,20,quantile,0.01,4,3.494772877078283
84,2023,46,21,quantile,0.01,1,5.145208614130571
85,2023,46,21,quantile,0.01,2,4.80044770859994
86,2023,46,21,quantile,0.01,3,3.382423324328901
87,2023,46,21,quantile,0.01,4,2.567572877078282
88,2023,46,01,quantile,0.025,1,8.355061226281908
89,2023,46,01,quantile,0.025,2,8.683088237876866
90,2023,46,01,quantile,0.025,3,7.643015609626425
91,2023,46,01,quantile,0.025,4,6.86372497364601
92,2023,46,02,quantile,0.025,1,6.561061226281908
93,2023,46,02,quantile,0.025,2,6.613088237876867
94,2023,46,02,quantile,0.025,3,5.504015609626426
95,2023,46,02,quantile,0.025,4,4.766124973646012
96,2023,46,03,quantile,0.025,1,6.561061226281908
97,2023,46,03,quantile,0.025,2,6.613088237876867
98,2023,46,03,quantile,0.025,3,5.504015609626426
99,2023,46,03,quantile,0.025,4,4.766124973646012
100,2023,46,04,quantile,0.025,1,4.793061226281907
101,2023,46,04,quantile,0.025,2,4.573088237876866
102,2023,46,04,quantile,0.025,3,3.396015609626425
