anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
2023,49,IT,quantile,0.01,1,10.596609014714481
2023,49,IT,quantile,0.025,1,10.845151745457029
2023,49,IT,quantile,0.05,1,11.049645333071542
2023,49,IT,quantile,0.1,1,11.276978318613994
2023,49,IT,quantile,0.15,1,11.426333484997627
2023,49,IT,quantile,0.2,1,11.543228510949678
2023,49,IT,quantile,0.25,1,11.642495526586131
2023,49,IT,quantile,0.3,1,11.73100470999899
2023,49,IT,quantile,0.35,1,11.812607143103472
2023,49,IT,quantile,0.4,1,11.889770261021209
2023,49,IT,quantile,0.45,1,11.96426268633447
2023,49,IT,quantile,0.5,1,12.037496194581744
2023,49,IT,quantile,0.55,1,12.110729702829017
2023,49,IT,quantile,0.6,1,12.185222128142279
2023,49,IT,quantile,0.65,1,12.262385246060015
2023,49,IT,quantile,0.7,1,12.343987679164497
2023,49,IT,quantile,0.75,1,12.432496862577356
2023,49,IT,quantile,0.8,1,12.531763878213809
2023,49,IT,quantile,0.85,1,12.64865890416586
2023,49,IT,quantile,0.9,1,12.798014070549494
2023,49,IT,quantile,0.95,1,13.025347056091945
2023,49,IT,quantile,0.975,1,13.229840643706458
2023,49,IT,quantile,0.99,1,13.478383374449006
2023,49,IT,quantile,0.01,2,9.497083206084906
2023,49,IT,quantile,0.025,2,9.883109613214025
2023,49,IT,quantile,0.05,2,10.19937183521021
2023,49,IT,quantile,0.1,2,10.549725185496083
2023,49,IT,quantile,0.15,2,10.779312067585721
2023,49,IT,quantile,0.2,2,10.958734824450952
2023,49,IT,quantile,0.25,2,11.11094959358652
2023,49,IT,quantile,0.3,2,11.246574274178359
2023,49,IT,quantile,0.35,2,11.371554117375807
2023,49,IT,quantile,0.4,2,11.489694833234088
2023,49,IT,quantile,0.45,2,11.603722259911992
2023,49,IT,quantile,0.5,2,11.715811062700398
2023,49,IT,quantile,0.55,2,11.827899865488805
2023,49,IT,quantile,0.6,2,11.941927292166708
2023,49,IT,quantile,0.65,2,12.06006800802499
2023,49,IT,quantile,0.7,2,12.185047851222437
2023,49,IT,quantile,0.75,2,12.320672531814276
2023,49,IT,quantile,0.8,2,12.472887300949845
2023,49,IT,quantile,0.85,2,12.652310057815075
2023,49,IT,quantile,0.9,2,12.881896939904713
2023,49,IT,quantile,0.95,2,13.232250290190587
2023,49,IT,quantile,0.975,2,13.548512512186772
2023,49,IT,quantile,0.99,2,13.93453891931589
2023,49,IT,quantile,0.01,3,7.937450918264244
2023,49,IT,quantile,0.025,3,8.441779554454621
2023,49,IT,quantile,0.05,3,8.852837945605549
2023,49,IT,quantile,0.1,3,9.306272133229788
2023,49,IT,quantile,0.15,3,9.602481691917005
2023,49,IT,quantile,0.2,3,9.833552954587294
2023,49,IT,quantile,0.25,3,10.029348754755123
2023,49,IT,quantile,0.3,3,10.203657497686555
2023,49,IT,quantile,0.35,3,10.364189270834999
2023,49,IT,quantile,0.4,3,10.515874037380385
2023,49,IT,quantile,0.45,3,10.66223969204298
2023,49,IT,quantile,0.5,3,10.806098886845549
2023,49,IT,quantile,0.55,3,10.949958081648116
2023,49,IT,quantile,0.6,3,11.096323736310712
2023,49,IT,quantile,0.65,3,11.248008502856099
2023,49,IT,quantile,0.7,3,11.408540276004542
2023,49,IT,quantile,0.75,3,11.582849018935974
2023,49,IT,quantile,0.8,3,11.778644819103803
2023,49,IT,quantile,0.85,3,12.009716081774092
2023,49,IT,quantile,0.9,3,12.305925640461309
2023,49,IT,quantile,0.95,3,12.759359828085548
2023,49,IT,quantile,0.975,3,13.170418219236476
2023,49,IT,quantile,0.99,3,13.674746855426854
2023,49,IT,quantile,0.01,4,6.633002592285088
2023,49,IT,quantile,0.025,4,7.2025100314042785
2023,49,IT,quantile,0.05,4,7.663739971806774
2023,49,IT,quantile,0.1,4,8.169844051291566
2023,49,IT,quantile,0.15,4,8.499183606453848
2023,49,IT,quantile,0.2,4,8.755525257103235
2023,49,IT,quantile,0.25,4,8.972410201736846
2023,49,IT,quantile,0.3,4,9.165291895195168
2023,49,IT,quantile,0.35,4,9.342797066692327
2023,49,IT,quantile,0.4,4,9.510434234663947
2023,49,IT,quantile,0.45,4,9.672140889036552
2023,49,IT,quantile,0.5,4,9.831053645645202
2023,49,IT,quantile,0.55,4,9.989966402253852
2023,49,IT,quantile,0.6,4,10.151673056626457
2023,49,IT,quantile,0.65,4,10.319310224598077
2023,49,IT,quantile,0.7,4,10.496815396095236
2023,49,IT,quantile,0.75,4,10.689697089553558
2023,49,IT,quantile,0.8,4,10.906582034187169
2023,49,IT,quantile,0.85,4,11.162923684836557
2023,49,IT,quantile,0.9,4,11.492263239998838
2023,49,IT,quantile,0.95,4,11.99836731948363
2023,49,IT,quantile,0.975,4,12.459597259886126
2023,49,IT,quantile,0.99,4,13.029104699005316
