anno,settimana,incidenza,target
2025,42,0.03213483146067416,ARI+_FLU_B
2025,43,0.02537521815008726,ARI+_FLU_B
2025,44,0.011137724550898205,ARI+_FLU_B
2025,45,0.05926204819277108,ARI+_FLU_B
2025,46,0.060864345738295314,ARI+_FLU_B
2025,47,0.03270833333333333,ARI+_FLU_B
2025,48,0.02701754385964912,ARI+_FLU_B
2025,49,0.036711711711711704,ARI+_FLU_B
2025,50,0.031125,ARI+_FLU_B
2025,51,0.011683963843321057,ARI+_FLU_B
2025,52,0.011688209949079514,ARI+_FLU_B
2026,01,0.0,ARI+_FLU_B
2026,02,0.007588168373151308,ARI+_FLU_B
