anno,settimana,incidenza,target
2025,42,0.03231460674157304,ARI+_FLU_B
2025,43,0.02554973821989529,ARI+_FLU_B
2025,44,0.01122754491017964,ARI+_FLU_B
2025,45,0.06046686746987951,ARI+_FLU_B
2025,46,0.06229940119760479,ARI+_FLU_B
2025,47,0.03283922462941847,ARI+_FLU_B
2025,48,0.027245657568238213,ARI+_FLU_B
2025,49,0.03688888888888889,ARI+_FLU_B
2025,50,0.031473029045643156,ARI+_FLU_B
2025,51,0.011712010617120105,ARI+_FLU_B
2025,52,0.011753371868978806,ARI+_FLU_B
2026,01,0.0,ARI+_FLU_B
2026,02,0.006853345989558614,ARI+_FLU_B
2026,03,0.02131324004305705,ARI+_FLU_B
2026,04,0.013229571984435798,ARI+_FLU_B
2026,05,0.02431767337807606,ARI+_FLU_B
2026,06,0.006052311435523114,ARI+_FLU_B
2026,07,0.017203065134099617,ARI+_FLU_B
2026,08,0.024226646248085758,ARI+_FLU_B
2026,09,0.046632124352331605,ARI+_FLU_B
