anno,settimana,incidenza,numero_casi,numero_assistiti,target
2006,42,0.26,216,839158,ILI
2006,43,0.27,257,940408,ILI
2006,44,0.26,264,1018516,ILI
2006,45,0.43,482,1112240,ILI
2006,46,0.51,576,1128853,ILI
2006,47,0.53,599,1139219,ILI
2006,48,0.59,683,1157608,ILI
2006,49,0.65,751,1155228,ILI
2006,50,0.9,1022,1141139,ILI
2006,51,1.11,1221,1101079,ILI
2006,52,1.62,1783,1098249,ILI
2007,1,1.81,2069,1143863,ILI
2007,2,2.23,2599,1162870,ILI
2007,3,3.11,3639,1171110,ILI
2007,4,4.67,5436,1164898,ILI
2007,5,6.21,7210,1160725,ILI
2007,6,7.57,8830,1165694,ILI
2007,7,7.69,8729,1134904,ILI
2007,8,6.48,7335,1132554,ILI
2007,9,4.63,5202,1123879,ILI
2007,10,3.11,3424,1100967,ILI
2007,11,2.24,2417,1076824,ILI
2007,12,1.78,1886,1056618,ILI
2007,13,1.36,1421,1047465,ILI
