anno,settimana,orizzonte,luogo,tipo_valore,id_valore,valore,target
2025,8,1,IT,quantile,0.01,0.7207495408236615,ILI+_FLU_A
2025,8,2,IT,quantile,0.01,0.3155,ILI+_FLU_A
2025,8,3,IT,quantile,0.01,0.3155,ILI+_FLU_A
2025,8,4,IT,quantile,0.01,0.3155,ILI+_FLU_A
2025,8,1,IT,quantile,0.025,0.7536695253954037,ILI+_FLU_A
2025,8,2,IT,quantile,0.025,0.3155,ILI+_FLU_A
2025,8,3,IT,quantile,0.025,0.3155,ILI+_FLU_A
2025,8,4,IT,quantile,0.025,0.3155,ILI+_FLU_A
2025,8,1,IT,quantile,0.05,0.8074886975967612,ILI+_FLU_A
2025,8,2,IT,quantile,0.05,0.0551479399163044,ILI+_FLU_A
2025,8,3,IT,quantile,0.05,0.3155,ILI+_FLU_A
2025,8,4,IT,quantile,0.05,0.3155,ILI+_FLU_A
2025,8,1,IT,quantile,0.1,0.91167017283037,ILI+_FLU_A
2025,8,2,IT,quantile,0.1,0.2050422398349443,ILI+_FLU_A
2025,8,3,IT,quantile,0.1,0.3155,ILI+_FLU_A
2025,8,4,IT,quantile,0.1,0.3155,ILI+_FLU_A
2025,8,1,IT,quantile,0.15,1.0119870136035538,ILI+_FLU_A
2025,8,2,IT,quantile,0.15,0.3493761781289486,ILI+_FLU_A
2025,8,3,IT,quantile,0.15,0.0356044537765156,ILI+_FLU_A
2025,8,4,IT,quantile,0.15,0.0322363914560885,ILI+_FLU_A
2025,8,1,IT,quantile,0.2,1.1091843600042544,ILI+_FLU_A
2025,8,2,IT,quantile,0.2,0.4892218480046473,ILI+_FLU_A
2025,8,3,IT,quantile,0.2,0.2086389160946915,ILI+_FLU_A
2025,8,4,IT,quantile,0.2,0.2275891873798294,ILI+_FLU_A
2025,8,1,IT,quantile,0.25,1.2038813643500237,ILI+_FLU_A
2025,8,2,IT,quantile,0.25,0.6254700738909932,ILI+_FLU_A
2025,8,3,IT,quantile,0.25,0.3772221731165525,ILI+_FLU_A
2025,8,4,IT,quantile,0.25,0.4179166525791815,ILI+_FLU_A
2025,8,1,IT,quantile,0.3,1.2966060086777949,ILI+_FLU_A
2025,8,2,IT,quantile,0.3,0.7588805061732229,ILI+_FLU_A
2025,8,3,IT,quantile,0.3,0.5422941588141409,ILI+_FLU_A
2025,8,4,IT,quantile,0.3,0.6042799556038208,ILI+_FLU_A
2025,8,1,IT,quantile,0.35,1.387820206841373,ILI+_FLU_A
2025,8,2,IT,quantile,0.35,0.8901177376072321,ILI+_FLU_A
2025,8,3,IT,quantile,0.35,0.704677190033443,ILI+_FLU_A
2025,8,4,IT,quantile,0.35,0.7876074773834557,ILI+_FLU_A
2025,8,1,IT,quantile,0.4,1.4779386227825144,ILI+_FLU_A
2025,8,2,IT,quantile,0.4,1.019778378685546,ILI+_FLU_A
2025,8,3,IT,quantile,0.4,0.8651094675058735,ILI+_FLU_A
2025,8,4,IT,quantile,0.4,0.9687326332672764,ILI+_FLU_A
2025,8,1,IT,quantile,0.45,1.5673433996593114,ILI+_FLU_A
2025,8,2,IT,quantile,0.45,1.1484122496235385,ILI+_FLU_A
2025,8,3,IT,quantile,0.45,1.0242712972103265,ILI+_FLU_A
2025,8,4,IT,quantile,0.45,1.1484234764701176,ILI+_FLU_A
2025,8,1,IT,quantile,0.5,1.6563962767987763,ILI+_FLU_A
2025,8,2,IT,quantile,0.5,1.2765398139974256,ILI+_FLU_A
2025,8,3,IT,quantile,0.5,1.1828066614391883,ILI+_FLU_A
2025,8,4,IT,quantile,0.5,1.3274070514180292,ILI+_FLU_A
2025,8,1,IT,quantile,0.55,1.7454491539382413,ILI+_FLU_A
2025,8,2,IT,quantile,0.55,1.4046673783713128,ILI+_FLU_A
2025,8,3,IT,quantile,0.55,1.3413420256680502,ILI+_FLU_A
2025,8,4,IT,quantile,0.55,1.5063906263659408,ILI+_FLU_A
2025,8,1,IT,quantile,0.6,1.8348539308150384,ILI+_FLU_A
2025,8,2,IT,quantile,0.6,1.5333012493093052,ILI+_FLU_A
2025,8,3,IT,quantile,0.6,1.5005038553725032,ILI+_FLU_A
2025,8,4,IT,quantile,0.6,1.6860814695687818,ILI+_FLU_A
2025,8,1,IT,quantile,0.65,1.92497234675618,ILI+_FLU_A
2025,8,2,IT,quantile,0.65,1.6629618903876189,ILI+_FLU_A
2025,8,3,IT,quantile,0.65,1.6609361328449337,ILI+_FLU_A
2025,8,4,IT,quantile,0.65,1.8672066254526023,ILI+_FLU_A
2025,8,1,IT,quantile,0.7,2.0161865449197576,ILI+_FLU_A
2025,8,2,IT,quantile,0.7,1.7941991218216282,ILI+_FLU_A
2025,8,3,IT,quantile,0.7,1.823319164064236,ILI+_FLU_A
2025,8,4,IT,quantile,0.7,2.050534147232238,ILI+_FLU_A
2025,8,1,IT,quantile,0.75,2.108911189247529,ILI+_FLU_A
2025,8,2,IT,quantile,0.75,1.9276095541038576,ILI+_FLU_A
2025,8,3,IT,quantile,0.75,1.9883911497618243,ILI+_FLU_A
2025,8,4,IT,quantile,0.75,2.236897450256877,ILI+_FLU_A
2025,8,1,IT,quantile,0.8,2.2036081935932983,ILI+_FLU_A
2025,8,2,IT,quantile,0.8,2.063857779990204,ILI+_FLU_A
2025,8,3,IT,quantile,0.8,2.156974406783685,ILI+_FLU_A
2025,8,4,IT,quantile,0.8,2.427224915456229,ILI+_FLU_A
2025,8,1,IT,quantile,0.85,2.300805539993999,ILI+_FLU_A
2025,8,2,IT,quantile,0.85,2.2037034498659027,ILI+_FLU_A
2025,8,3,IT,quantile,0.85,2.330008869101861,ILI+_FLU_A
2025,8,4,IT,quantile,0.85,2.6225777113799698,ILI+_FLU_A
2025,8,1,IT,quantile,0.9,2.4011223807671827,ILI+_FLU_A
2025,8,2,IT,quantile,0.9,2.3480373881599066,ILI+_FLU_A
2025,8,3,IT,quantile,0.9,2.508596775535908,ILI+_FLU_A
2025,8,4,IT,quantile,0.9,2.824200245831558,ILI+_FLU_A
2025,8,1,IT,quantile,0.95,2.505303856000792,ILI+_FLU_A
2025,8,2,IT,quantile,0.95,2.4979316880785465,ILI+_FLU_A
2025,8,3,IT,quantile,0.95,2.6940646531901464,ILI+_FLU_A
2025,8,4,IT,quantile,0.95,3.0335901440541164,ILI+_FLU_A
2025,8,1,IT,quantile,0.975,2.559123028202149,ILI+_FLU_A
