anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
2023,47,IT,quantile,0.01,1,9.982371053249748
2023,47,IT,quantile,0.01,2,10.615464448738686
2023,47,IT,quantile,0.01,3,11.100960106439878
2023,47,IT,quantile,0.01,4,11.460512727642918
2023,47,IT,quantile,0.99,1,11.077628946715047
2023,47,IT,quantile,0.99,2,13.064535551190906
2023,47,IT,quantile,0.99,3,15.199039893454511
2023,47,IT,quantile,0.99,4,17.45948727221627
2023,47,IT,quantile,0.025,1,10.00163894120822
2023,47,IT,quantile,0.025,2,10.658548755992642
2023,47,IT,quantile,0.025,3,11.173053941738566
2023,47,IT,quantile,0.025,4,11.566047296332357
2023,47,IT,quantile,0.975,1,11.058361058756574
2023,47,IT,quantile,0.975,2,13.02145124393695
2023,47,IT,quantile,0.975,3,15.126946058155823
2023,47,IT,quantile,0.975,4,17.35395270352683
2023,47,IT,quantile,0.05,1,10.033139010041289
2023,47,IT,quantile,0.05,2,10.728985051192709
2023,47,IT,quantile,0.05,3,11.290916406957548
2023,47,IT,quantile,0.05,4,11.738580278937953
2023,47,IT,quantile,0.95,1,11.026860989923506
2023,47,IT,quantile,0.95,2,12.951014948736884
2023,47,IT,quantile,0.95,3,15.009083592936841
2023,47,IT,quantile,0.95,4,17.181419720921234
2023,47,IT,quantile,0.1,1,10.094115860980416
2023,47,IT,quantile,0.1,2,10.865333434933696
2023,47,IT,quantile,0.1,3,11.519070891668738
2023,47,IT,quantile,0.1,4,12.072564246343756
2023,47,IT,quantile,0.9,1,10.965884138984379
2023,47,IT,quantile,0.9,2,12.814666564995896
2023,47,IT,quantile,0.9,3,14.780929108225651
2023,47,IT,quantile,0.9,4,16.84743575351543
2023,47,IT,quantile,0.15,1,10.152830762384857
2023,47,IT,quantile,0.15,2,10.996623945753925
2023,47,IT,quantile,0.15,3,11.738761936195978
2023,47,IT,quantile,0.15,4,12.394159005910337
2023,47,IT,quantile,0.85,1,10.907169237579938
2023,47,IT,quantile,0.85,2,12.683376054175667
2023,47,IT,quantile,0.85,3,14.561238063698411
2023,47,IT,quantile,0.85,4,16.525840993948847
2023,47,IT,quantile,0.2,1,10.20971984069618
2023,47,IT,quantile,0.2,2,11.123831792023442
2023,47,IT,quantile,0.2,3,11.95162137626074
2023,47,IT,quantile,0.2,4,12.705753320537108
2023,47,IT,quantile,0.8,1,10.850280159268614
2023,47,IT,quantile,0.8,2,12.55616820790615
2023,47,IT,quantile,0.8,3,14.34837862363365
2023,47,IT,quantile,0.8,4,16.21424667932208
2023,47,IT,quantile,0.25,1,10.265145482399046
2023,47,IT,quantile,0.25,2,11.247767294555983
2023,47,IT,quantile,0.25,3,12.159005137930034
2023,47,IT,quantile,0.25,4,13.009332062745603
2023,47,IT,quantile,0.75,1,10.79485451756575
2023,47,IT,quantile,0.75,2,12.43223270537361
2023,47,IT,quantile,0.75,3,14.140994861964355
2023,47,IT,quantile,0.75,4,15.910667937113583
2023,47,IT,quantile,0.3,1,10.31941671250862
2023,47,IT,quantile,0.3,2,11.369121454292154
2023,47,IT,quantile,0.3,3,12.362069486934436
2023,47,IT,quantile,0.3,4,13.30658783225203
2023,47,IT,quantile,0.7,1,10.740583287456175
2023,47,IT,quantile,0.7,2,12.310878545637438
2023,47,IT,quantile,0.7,3,13.937930512959953
2023,47,IT,quantile,0.7,4,15.613412167607157
2023,47,IT,quantile,0.35,1,10.372803886691752
2023,47,IT,quantile,0.35,2,11.488498804881079
2023,47,IT,quantile,0.35,3,12.561826001551749
2023,47,IT,quantile,0.35,4,13.59900142802902
2023,47,IT,quantile,0.65,1,10.687196113273043
2023,47,IT,quantile,0.65,2,12.191501195048513
2023,47,IT,quantile,0.65,3,13.73817399834264
2023,47,IT,quantile,0.65,4,15.320998571830167
2023,47,IT,quantile,0.4,1,10.425549705498707
2023,47,IT,quantile,0.4,2,11.606442041251269
2023,47,IT,quantile,0.4,3,12.759182784088523
2023,47,IT,quantile,0.4,4,13.887902175737372
2023,47,IT,quantile,0.6,1,10.634450294466088
2023,47,IT,quantile,0.6,2,12.073557958678323
2023,47,IT,quantile,0.6,3,13.540817215805866
2023,47,IT,quantile,0.6,4,15.032097824121815
2023,47,IT,quantile,0.45,1,10.477877835241907
2023,47,IT,quantile,0.45,2,11.723451296481533
2023,47,IT,quantile,0.45,3,12.954976717254716
2023,47,IT,quantile,0.45,4,14.174515146223612
2023,47,IT,quantile,0.55,1,10.582122164722888
2023,47,IT,quantile,0.55,2,11.956548703448059
2023,47,IT,quantile,0.55,3,13.345023282639673
2023,47,IT,quantile,0.55,4,14.745484853635574
2023,47,IT,quantile,0.5,1,10.529999999982397
2023,47,IT,quantile,0.5,2,11.839999999964796
2023,47,IT,quantile,0.5,3,13.149999999947195
2023,47,IT,quantile,0.5,4,14.459999999929593
