origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.75,2856.3761673030367
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.75,2872.383564217479
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.75,2881.62849252769
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.8,2875.9211741032027
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.8,2908.7051712986404
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.8,2926.2520194576286
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.8,2936.197522388266
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.85,2926.0628546471944
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.85,2962.4158495117845
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.85,2981.5427959739545
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.85,2992.207371218775
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.9,2977.813804333566
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.9,3017.850341847769
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.9,3038.608098982824
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.9,3050.01482476485
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.95,3031.5584223011174
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.95,3075.420408307965
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.95,3097.8718019293583
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.95,3110.0492690666315
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.975,3059.3223874667665
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.975,3105.160564257161
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.975,3128.4868745899994
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.975,3141.0624994767927
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.99,3076.304984328048
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.99,3123.351952845336
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.99,3147.213430172837
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.99,3160.032599254668
2025-03-12,ILI incidence,2025-03-09,1,AT,median,,2593.6282295133224
2025-03-12,ILI incidence,2025-03-16,2,AT,median,,2606.3191055702405
2025-03-12,ILI incidence,2025-03-23,3,AT,median,,2614.970148923577
2025-03-12,ILI incidence,2025-03-30,4,AT,median,,2620.8673423691403
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.01,294.809374109752
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.01,247.30885589924543
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.01,212.55345519888425
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.01,185.7617828182714
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.025,298.061807452385
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.025,251.23760708103865
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.025,216.9215641524956
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.025,190.42405155487432
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.05,303.3790417226239
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.05,257.66051824396527
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.05,224.062758506836
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.05,198.0461524534156
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.1,313.67197800866774
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.1,270.0937893791024
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.1,237.88645984474573
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.1,212.80077768285025
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.15,323.5830955867233
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.15,282.0658456199705
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.15,251.19736797790085
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.15,227.00807688350227
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.2,333.18601291373955
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.2,293.665613800503
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.2,264.0943545531801
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.2,240.77357997531524
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.25,342.54190108891265
2025-03-12,ILI incidence,2025-03-16,2,BE,quantile,0.25,304.9669850670944
2025-03-12,ILI incidence,2025-03-23,3,BE,quantile,0.25,276.6595740678329
2025-03-12,ILI incidence,2025-03-30,4,BE,quantile,0.25,254.18497395240144
2025-03-12,ILI incidence,2025-03-09,1,BE,quantile,0.3,351.7029237570187
