anno,settimana,incidenza,numero_casi,numero_assistiti
2021,42,2.49,4272,1713241
2021,43,2.89,4966,1720624
2021,44,3.24,5590,1725143
2021,45,3.82,6673,1747584
2021,46,4.19,7301,1741924
2021,47,4.46,7820,1755204
2021,48,4.39,7589,1729390
2021,49,4.12,7120,1728741
2021,50,4.43,7589,1713465
2021,51,4.72,7972,1688611
2021,52,5.16,8581,1663701
2022,01,4.91,8138,1658111
2022,02,4.87,7999,1641110
2022,03,4.55,7447,1635710
2022,04,3.79,6122,1616160
2022,05,3.22,5123,1592841
2022,06,2.79,4422,1584651
2022,07,2.66,4171,1569139
2022,08,2.78,4322,1555690
2022,09,3.03,4667,1542173
2022,10,3.86,5903,1528044
2022,11,4.66,6992,1498974
2022,12,5.11,7530,1474488
2022,13,5.29,7552,1427856
2022,14,4.55,6264,1375230
2022,15,3.93,5140,1306933
2022,16,3.64,4396,1208573
