anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.0,0.0,3192.0,ILI
2012,45,1.8,10.0,5554.0,ILI
2012,46,1.25,7.0,5579.0,ILI
2012,47,0.59,9.0,15166.0,ILI
2012,48,1.52,21.0,13836.0,ILI
2012,49,2.71,25.0,9219.0,ILI
2012,50,2.21,31.0,14027.0,ILI
2012,51,1.8,34.0,18869.0,ILI
2012,52,2.28,29.0,12704.0,ILI
2013,1,4.25,71.0,16707.0,ILI
2013,2,7.33,164.0,22366.0,ILI
2013,3,18.23,383.0,21005.0,ILI
