anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.59,40.0,67442.0,ILI
2012,45,0.89,62.0,69773.0,ILI
2012,46,1.22,80.0,65479.0,ILI
2012,47,1.28,82.0,64307.0,ILI
2012,48,1.12,82.0,73505.0,ILI
2012,49,1.14,87.0,76071.0,ILI
2012,50,1.67,112.0,67195.0,ILI
2012,51,1.44,87.0,60454.0,ILI
2012,52,1.44,87.0,60454.0,ILI
2013,1,2.82,198.0,70207.0,ILI
2013,2,3.37,262.0,77640.0,ILI
2013,3,3.23,246.0,76053.0,ILI
