anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.48,13.0,27098.0,ILI
2012,45,1.2,46.0,38369.0,ILI
2012,46,0.87,43.0,49170.0,ILI
2012,47,1.5,83.0,55256.0,ILI
2012,48,1.37,93.0,67822.0,ILI
2012,49,1.61,107.0,66350.0,ILI
2012,50,2.0,130.0,64985.0,ILI
2012,51,2.64,165.0,62578.0,ILI
2012,52,3.69,174.0,47178.0,ILI
2013,1,4.64,346.0,74571.0,ILI
2013,2,5.84,468.0,80191.0,ILI
2013,3,7.93,529.0,66720.0,ILI
2013,4,10.71,823.0,76812.0,ILI
2013,5,14.62,1137.0,77762.0,ILI
2013,6,15.2,1435.0,94392.0,ILI
2013,7,13.83,1303.0,94184.0,ILI
