anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,42,0.34,397,1178056,ILI
2012,43,0.46,588,1274569,ILI
2012,44,0.51,665,1293685,ILI
2012,45,0.69,920,1328625,ILI
2012,46,0.77,1026,1334317,ILI
2012,47,0.89,1181,1331392,ILI
2012,48,1.07,1460,1360022,ILI
2012,49,1.31,1784,1359398,ILI
2012,50,1.67,2290,1367740,ILI
2012,51,2.24,2940,1314336,ILI
2012,52,2.56,3302,1288749,ILI
2013,1,3.52,4751,1348598,ILI
2013,2,5.18,7165,1382554,ILI
2013,3,6.64,9113,1372457,ILI
2013,4,8.25,11237,1362074,ILI
2013,5,9.56,13062,1366270,ILI
2013,6,9.98,13472,1350138,ILI
2013,7,9.71,12975,1335564,ILI
2013,8,9.23,12423,1346390,ILI
2013,9,7.66,10280,1341570,ILI
2013,10,5.91,7734,1309596,ILI
2013,11,4.28,5469,1277946,ILI
2013,12,3.18,3938,1237031,ILI
2013,13,2.18,2575,1183542,ILI
2013,14,1.55,1763,1138960,ILI
2013,15,1.14,1239,1083715,ILI
2013,16,0.78,740,954717,ILI
