orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana
3,02,quantile,0.15,2.97535813227784,2024,1
4,02,quantile,0.15,1.116761297497918,2024,1
1,02,quantile,0.2,11.458139964103529,2024,1
2,02,quantile,0.2,7.629440231690416,2024,1
3,02,quantile,0.2,3.760903347449928,2024,1
4,02,quantile,0.2,1.513051249487007,2024,1
1,02,quantile,0.25,12.170261803571996,2024,1
2,02,quantile,0.25,8.838158050228236,2024,1
3,02,quantile,0.25,4.782719222948604,2024,1
4,02,quantile,0.25,2.0091722260935683,2024,1
1,02,quantile,0.3,12.807902474434872,2024,1
2,02,quantile,0.3,10.065148940912328,2024,1
3,02,quantile,0.3,5.89612808807979,2024,1
4,02,quantile,0.3,2.629044703718201,2024,1
1,02,quantile,0.35,13.43359676301267,2024,1
2,02,quantile,0.35,11.307223586522609,2024,1
3,02,quantile,0.35,7.044582779022728,2024,1
4,02,quantile,0.35,3.343149863980906,2024,1
1,02,quantile,0.4,13.978832654659657,2024,1
2,02,quantile,0.4,12.583789143063614,2024,1
3,02,quantile,0.4,8.450126540851269,2024,1
4,02,quantile,0.4,4.221130164268418,2024,1
1,02,quantile,0.45,14.450073585404022,2024,1
2,02,quantile,0.45,13.726816617587176,2024,1
3,02,quantile,0.45,9.700733177708852,2024,1
4,02,quantile,0.45,5.063704375955339,2024,1
1,02,quantile,0.5,14.824981214173144,2024,1
2,02,quantile,0.5,14.78396111799901,2024,1
3,02,quantile,0.5,11.06377650794676,2024,1
4,02,quantile,0.5,5.975232883363873,2024,1
1,02,quantile,0.55,15.228566392231995,2024,1
2,02,quantile,0.55,15.956358830977958,2024,1
3,02,quantile,0.55,12.470938713980267,2024,1
4,02,quantile,0.55,7.032352718782944,2024,1
1,02,quantile,0.6,15.572211380618024,2024,1
2,02,quantile,0.6,16.936177451374352,2024,1
3,02,quantile,0.6,13.967081938794784,2024,1
4,02,quantile,0.6,8.280493276118225,2024,1
1,02,quantile,0.65,15.899195730109172,2024,1
2,02,quantile,0.65,18.0216084270761,2024,1
3,02,quantile,0.65,15.55546213065388,2024,1
4,02,quantile,0.65,9.50217973333442,2024,1
1,02,quantile,0.7,16.273075819837587,2024,1
2,02,quantile,0.7,18.935748616126386,2024,1
3,02,quantile,0.7,17.083939362566614,2024,1
4,02,quantile,0.7,10.90425553529107,2024,1
1,02,quantile,0.75,16.647248712130818,2024,1
2,02,quantile,0.75,19.852132303580056,2024,1
3,02,quantile,0.75,18.74995562702357,2024,1
4,02,quantile,0.75,12.308009863584685,2024,1
1,02,quantile,0.8,17.01561026656511,2024,1
2,02,quantile,0.8,20.814474063239704,2024,1
3,02,quantile,0.8,20.241169039634475,2024,1
4,02,quantile,0.8,13.74387910646892,2024,1
1,02,quantile,0.85,17.402453365352805,2024,1
2,02,quantile,0.85,21.70110345909561,2024,1
3,02,quantile,0.85,21.771837365111114,2024,1
4,02,quantile,0.85,15.395267891538936,2024,1
1,02,quantile,0.9,17.85711978118059,2024,1
2,02,quantile,0.9,22.781276472312182,2024,1
3,02,quantile,0.9,23.28915400222872,2024,1
4,02,quantile,0.9,16.921111553371812,2024,1
1,02,quantile,0.95,18.52510190200701,2024,1
2,02,quantile,0.95,24.250702381569536,2024,1
3,02,quantile,0.95,24.95377992503335,2024,1
4,02,quantile,0.95,18.4475803270275,2024,1
1,02,quantile,0.975,19.00582407607914,2024,1
2,02,quantile,0.975,25.37775362618657,2024,1
3,02,quantile,0.975,26.08943236226038,2024,1
4,02,quantile,0.975,19.253517813777425,2024,1
1,02,quantile,0.99,19.48690330393838,2024,1
2,02,quantile,0.99,26.561315489272047,2024,1
3,02,quantile,0.99,27.051583301363905,2024,1
4,02,quantile,0.99,19.69830804801344,2024,1
1,07,quantile,0.01,13.768107709309032,2024,1
2,07,quantile,0.01,12.323833571801178,2024,1
3,07,quantile,0.01,10.614504163501168,2024,1
4,07,quantile,0.01,8.924278084483012,2024,1
1,07,quantile,0.025,14.219577779809018,2024,1
2,07,quantile,0.025,12.92878829705532,2024,1
3,07,quantile,0.025,11.124540998318524,2024,1
4,07,quantile,0.025,9.429803414202452,2024,1
1,07,quantile,0.05,14.486882128084762,2024,1
2,07,quantile,0.05,13.33772572441192,2024,1
3,07,quantile,0.05,11.621301716922188,2024,1
4,07,quantile,0.05,9.875346788419938,2024,1
1,07,quantile,0.1,14.830732619554926,2024,1
2,07,quantile,0.1,13.928939712169871,2024,1
3,07,quantile,0.1,12.38096098153068,2024,1
4,07,quantile,0.1,10.530669216284354,2024,1
1,07,quantile,0.15,15.110099800506465,2024,1
2,07,quantile,0.15,14.478940919265437,2024,1
3,07,quantile,0.15,12.986908127916331,2024,1
4,07,quantile,0.15,11.197596827752578,2024,1
1,07,quantile,0.2,15.317389620058664,2024,1
