orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
3,17,quantile,0.7,23.75185552143385,2025,51,ARI
4,17,quantile,0.7,23.03033599448426,2025,51,ARI
-1,17,quantile,0.75,16.750021771146187,2025,51,ARI
0,17,quantile,0.75,18.06350235544998,2025,51,ARI
1,17,quantile,0.75,19.76956748935213,2025,51,ARI
2,17,quantile,0.75,22.42981750092441,2025,51,ARI
3,17,quantile,0.75,23.89945886414296,2025,51,ARI
4,17,quantile,0.75,23.26181278787342,2025,51,ARI
-1,17,quantile,0.8,16.81614176185416,2025,51,ARI
0,17,quantile,0.8,18.14197496733147,2025,51,ARI
1,17,quantile,0.8,19.94041711848277,2025,51,ARI
2,17,quantile,0.8,22.60688892861696,2025,51,ARI
3,17,quantile,0.8,24.20725836482277,2025,51,ARI
4,17,quantile,0.8,23.49238411588809,2025,51,ARI
-1,17,quantile,0.85,16.908438736759745,2025,51,ARI
0,17,quantile,0.85,18.19545099235011,2025,51,ARI
1,17,quantile,0.85,20.11386004643449,2025,51,ARI
2,17,quantile,0.85,22.811515852046693,2025,51,ARI
3,17,quantile,0.85,24.410829386903327,2025,51,ARI
4,17,quantile,0.85,23.761917562896663,2025,51,ARI
-1,17,quantile,0.9,17.030510342289357,2025,51,ARI
0,17,quantile,0.9,18.26854969294789,2025,51,ARI
1,17,quantile,0.9,20.34572582489594,2025,51,ARI
2,17,quantile,0.9,23.05850080505358,2025,51,ARI
3,17,quantile,0.9,24.647663475524567,2025,51,ARI
4,17,quantile,0.9,24.203690826640013,2025,51,ARI
-1,17,quantile,0.95,17.15375379752779,2025,51,ARI
0,17,quantile,0.95,18.49094062793804,2025,51,ARI
1,17,quantile,0.95,20.70530759731377,2025,51,ARI
2,17,quantile,0.95,23.68019331121712,2025,51,ARI
3,17,quantile,0.95,25.1957282561518,2025,51,ARI
4,17,quantile,0.95,24.57068659407929,2025,51,ARI
-1,17,quantile,0.975,17.33131209510969,2025,51,ARI
0,17,quantile,0.975,18.635673689747232,2025,51,ARI
1,17,quantile,0.975,20.886755199682923,2025,51,ARI
2,17,quantile,0.975,24.25259378853745,2025,51,ARI
3,17,quantile,0.975,25.586663651994204,2025,51,ARI
4,17,quantile,0.975,24.67453792561423,2025,51,ARI
-1,17,quantile,0.99,17.427249040589558,2025,51,ARI
0,17,quantile,0.99,18.737419761901617,2025,51,ARI
1,17,quantile,0.99,21.112896519785977,2025,51,ARI
2,17,quantile,0.99,24.76050996000205,2025,51,ARI
3,17,quantile,0.99,26.03608589357354,2025,51,ARI
4,17,quantile,0.99,24.866411952585143,2025,51,ARI
-1,02,quantile,0.01,11.253250371241949,2025,51,ARI
0,02,quantile,0.01,12.62203814584605,2025,51,ARI
1,02,quantile,0.01,12.920644729135889,2025,51,ARI
2,02,quantile,0.01,12.746716885194664,2025,51,ARI
3,02,quantile,0.01,11.82987713108636,2025,51,ARI
4,02,quantile,0.01,10.206159887115156,2025,51,ARI
-1,02,quantile,0.025,11.355202504350078,2025,51,ARI
0,02,quantile,0.025,12.684637632308377,2025,51,ARI
1,02,quantile,0.025,13.145910769950692,2025,51,ARI
2,02,quantile,0.025,13.071810333427926,2025,51,ARI
3,02,quantile,0.025,12.11634307575046,2025,51,ARI
4,02,quantile,0.025,10.25755131132314,2025,51,ARI
-1,02,quantile,0.05,11.531354238753536,2025,51,ARI
0,02,quantile,0.05,12.715547133757903,2025,51,ARI
1,02,quantile,0.05,13.269275877573786,2025,51,ARI
2,02,quantile,0.05,13.330728444011257,2025,51,ARI
3,02,quantile,0.05,12.213475891963624,2025,51,ARI
4,02,quantile,0.05,10.539637487999688,2025,51,ARI
-1,02,quantile,0.1,11.650435111050191,2025,51,ARI
0,02,quantile,0.1,12.80443170359041,2025,51,ARI
1,02,quantile,0.1,13.400874385235342,2025,51,ARI
2,02,quantile,0.1,13.719161385757516,2025,51,ARI
3,02,quantile,0.1,12.900914069397295,2025,51,ARI
4,02,quantile,0.1,11.20380382130981,2025,51,ARI
-1,02,quantile,0.15,11.73409805398777,2025,51,ARI
0,02,quantile,0.15,12.850821581902345,2025,51,ARI
1,02,quantile,0.15,13.493893616038724,2025,51,ARI
2,02,quantile,0.15,14.066147232906754,2025,51,ARI
3,02,quantile,0.15,13.374511493387375,2025,51,ARI
4,02,quantile,0.15,11.75116807708104,2025,51,ARI
-1,02,quantile,0.2,11.792870143421297,2025,51,ARI
