orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana
1,17,quantile,0.01,4.89178586075198,2024,8
2,17,quantile,0.01,3.375989039652,2024,8
3,17,quantile,0.01,2.3285833088725605,2024,8
4,17,quantile,0.01,1.604947544619583,2024,8
1,17,quantile,0.025,5.020929015249042,2024,8
2,17,quantile,0.025,3.585293608695973,2024,8
3,17,quantile,0.025,2.5913992263049432,2024,8
4,17,quantile,0.025,1.92079767935657,2024,8
1,17,quantile,0.05,5.142713864907556,2024,8
2,17,quantile,0.05,3.793943546194038,2024,8
3,17,quantile,0.05,2.8511220735357243,2024,8
4,17,quantile,0.05,2.2077178061564044,2024,8
1,17,quantile,0.1,5.295415928378639,2024,8
2,17,quantile,0.1,4.045482984970034,2024,8
3,17,quantile,0.1,3.170957676951254,2024,8
4,17,quantile,0.1,2.5646848007827585,2024,8
1,17,quantile,0.15,5.407991098981788,2024,8
2,17,quantile,0.15,4.225570141917258,2024,8
3,17,quantile,0.15,3.394575601093862,2024,8
4,17,quantile,0.15,2.8259038908487284,2024,8
1,17,quantile,0.2,5.4992715098008285,2024,8
2,17,quantile,0.2,4.374958299572433,2024,8
3,17,quantile,0.2,3.585909203444864,2024,8
4,17,quantile,0.2,3.0428834114518235,2024,8
1,17,quantile,0.25,5.581735258557277,2024,8
2,17,quantile,0.25,4.511486659112762,2024,8
3,17,quantile,0.25,3.7560506747218256,2024,8
4,17,quantile,0.25,3.235647574908561,2024,8
1,17,quantile,0.3,5.657902543050812,2024,8
2,17,quantile,0.3,4.639444596670365,2024,8
3,17,quantile,0.3,3.9117738527717703,2024,8
4,17,quantile,0.3,3.4118828132284857,2024,8
1,17,quantile,0.35,5.724844307376277,2024,8
2,17,quantile,0.35,4.753125994576243,2024,8
3,17,quantile,0.35,4.058908440267315,2024,8
4,17,quantile,0.35,3.5804985071402182,2024,8
1,17,quantile,0.4,5.792949460794181,2024,8
2,17,quantile,0.4,4.869414541750468,2024,8
3,17,quantile,0.4,4.206528284044308,2024,8
4,17,quantile,0.4,3.741529869674924,2024,8
1,17,quantile,0.45,5.858476366986636,2024,8
2,17,quantile,0.45,4.975664982110025,2024,8
3,17,quantile,0.45,4.344661109740968,2024,8
4,17,quantile,0.45,3.906251821428805,2024,8
1,17,quantile,0.5,5.918358609547916,2024,8
2,17,quantile,0.5,5.080507534172199,2024,8
3,17,quantile,0.5,4.477984235988275,2024,8
4,17,quantile,0.5,4.06529854394863,2024,8
1,17,quantile,0.55,5.9793744516611325,2024,8
2,17,quantile,0.55,5.184357942487207,2024,8
3,17,quantile,0.55,4.614425743683356,2024,8
4,17,quantile,0.55,4.227060304985477,2024,8
1,17,quantile,0.6,6.037996497037983,2024,8
2,17,quantile,0.6,5.287229192499352,2024,8
3,17,quantile,0.6,4.748075270569728,2024,8
4,17,quantile,0.6,4.38466328530374,2024,8
1,17,quantile,0.65,6.097693587526707,2024,8
2,17,quantile,0.65,5.390257844650137,2024,8
3,17,quantile,0.65,4.89185118762977,2024,8
4,17,quantile,0.65,4.544163060693143,2024,8
1,17,quantile,0.7,6.157115336076578,2024,8
2,17,quantile,0.7,5.49329797474261,2024,8
3,17,quantile,0.7,5.027508323682241,2024,8
4,17,quantile,0.7,4.712497458068343,2024,8
1,17,quantile,0.75,6.222114079572302,2024,8
2,17,quantile,0.75,5.604673105245784,2024,8
3,17,quantile,0.75,5.172144006688543,2024,8
4,17,quantile,0.75,4.886162361583636,2024,8
1,17,quantile,0.8,6.289590235466945,2024,8
2,17,quantile,0.8,5.724601590950306,2024,8
3,17,quantile,0.8,5.328026972223132,2024,8
4,17,quantile,0.8,5.066066870484736,2024,8
1,17,quantile,0.85,6.36405164022452,2024,8
2,17,quantile,0.85,5.853707467347239,2024,8
3,17,quantile,0.85,5.503057048150328,2024,8
4,17,quantile,0.85,5.277985369623035,2024,8
1,17,quantile,0.9,6.454666035157609,2024,8
2,17,quantile,0.9,6.011044441561587,2024,8
3,17,quantile,0.9,5.706204791519776,2024,8
4,17,quantile,0.9,5.511879949772061,2024,8
1,17,quantile,0.95,6.577222997464718,2024,8
2,17,quantile,0.95,6.21817524908983,2024,8
3,17,quantile,0.95,5.967239516813198,2024,8
4,17,quantile,0.95,5.816638490534878,2024,8
1,17,quantile,0.975,6.687326501599322,2024,8
2,17,quantile,0.975,6.369226447879423,2024,8
3,17,quantile,0.975,6.148353625618878,2024,8
4,17,quantile,0.975,6.0258203335503255,2024,8
1,17,quantile,0.99,6.858422888951023,2024,8
2,17,quantile,0.99,6.544671460024035,2024,8
3,17,quantile,0.99,6.341036171813789,2024,8
4,17,quantile,0.99,6.206565997640595,2024,8
1,02,quantile,0.01,2.0548473000318794,2024,8
2,02,quantile,0.01,1.724676949849531,2024,8
3,02,quantile,0.01,1.5080508836482158,2024,8
4,02,quantile,0.01,1.3427437062875218,2024,8
1,02,quantile,0.025,2.1349942365939643,2024,8
2,02,quantile,0.025,1.8595383538960588,2024,8
3,02,quantile,0.025,1.6741629100304576,2024,8
4,02,quantile,0.025,1.544299482700221,2024,8
1,02,quantile,0.05,2.2122390401260885,2024,8
2,02,quantile,0.05,1.987813364923884,2024,8
3,02,quantile,0.05,1.84274870015468,2024,8
4,02,quantile,0.05,1.7428977801877965,2024,8
1,02,quantile,0.1,2.305064438766409,2024,8
2,02,quantile,0.1,2.149375470024755,2024,8
3,02,quantile,0.1,2.0546296621099094,2024,8
4,02,quantile,0.1,1.9901386632086688,2024,8
1,02,quantile,0.15,2.372134631967613,2024,8
2,02,quantile,0.15,2.2597687944370874,2024,8
3,02,quantile,0.15,2.192644688121716,2024,8
4,02,quantile,0.15,2.151069140820656,2024,8
1,02,quantile,0.2,2.4212201705231307,2024,8
2,02,quantile,0.2,2.341819716706224,2024,8
3,02,quantile,0.2,2.297923342183813,2024,8
4,02,quantile,0.2,2.267211019662059,2024,8
1,02,quantile,0.25,2.460338593585444,2024,8
2,02,quantile,0.25,2.405307310953438,2024,8
3,02,quantile,0.25,2.3750686126699714,2024,8
4,02,quantile,0.25,2.353682726309006,2024,8
1,02,quantile,0.3,2.490388919044193,2024,8
2,02,quantile,0.3,2.4525241857704883,2024,8
3,02,quantile,0.3,2.43265782989855,2024,8
4,02,quantile,0.3,2.4161206265449864,2024,8
1,02,quantile,0.35,2.5143748502783483,2024,8
2,02,quantile,0.35,2.4890107357311075,2024,8
3,02,quantile,0.35,2.475684426736641,2024,8
4,02,quantile,0.35,2.4630019930004536,2024,8
1,02,quantile,0.4,2.5324451334577023,2024,8
2,02,quantile,0.4,2.516482978131685,2024,8
3,02,quantile,0.4,2.5075960972412963,2024,8
4,02,quantile,0.4,2.498156147994803,2024,8
1,02,quantile,0.45,2.545678423001778,2024,8
2,02,quantile,0.45,2.535598209976341,2024,8
3,02,quantile,0.45,2.5300749017033404,2024,8
4,02,quantile,0.45,2.5222884206297342,2024,8
1,02,quantile,0.5,2.555691730346805,2024,8
2,02,quantile,0.5,2.5497566382659658,2024,8
3,02,quantile,0.5,2.546368795052239,2024,8
4,02,quantile,0.5,2.540110832488077,2024,8
1,02,quantile,0.55,2.562745568875243,2024,8
2,02,quantile,0.55,2.559878266292914,2024,8
3,02,quantile,0.55,2.55810109693514,2024,8
4,02,quantile,0.55,2.553458180945414,2024,8
1,02,quantile,0.6,2.567477121282604,2024,8
2,02,quantile,0.6,2.566596021175908,2024,8
3,02,quantile,0.6,2.5658432027040603,2024,8
4,02,quantile,0.6,2.562651723718063,2024,8
1,02,quantile,0.65,2.57,2024,8
2,02,quantile,0.65,2.57,2024,8
3,02,quantile,0.65,2.57,2024,8
4,02,quantile,0.65,2.568513621471803,2024,8
1,02,quantile,0.7,2.5735655406299536,2024,8
2,02,quantile,0.7,2.576476283202822,2024,8
3,02,quantile,0.7,2.577569921281216,2024,8
4,02,quantile,0.7,2.5703873331200104,2024,8
1,02,quantile,0.75,2.585871886922153,2024,8
2,02,quantile,0.75,2.6006748314948265,2024,8
3,02,quantile,0.75,2.610910259992462,2024,8
4,02,quantile,0.75,2.598243178592811,2024,8
1,02,quantile,0.8,2.605966571313816,2024,8
2,02,quantile,0.8,2.641546613204213,2024,8
3,02,quantile,0.8,2.669189803330752,2024,8
4,02,quantile,0.8,2.6558215809102563,2024,8
1,02,quantile,0.85,2.636958303305778,2024,8
2,02,quantile,0.85,2.704659362627147,2024,8
3,02,quantile,0.85,2.763591696052877,2024,8
4,02,quantile,0.85,2.757877352756755,2024,8
1,02,quantile,0.9,2.685278932830266,2024,8
2,02,quantile,0.9,2.8060797896883174,2024,8
3,02,quantile,0.9,2.920242715955321,2024,8
4,02,quantile,0.9,2.9306200814597587,2024,8
1,02,quantile,0.95,2.765998392177342,2024,8
2,02,quantile,0.95,2.976913581583903,2024,8
3,02,quantile,0.95,3.182904205378041,2024,8
4,02,quantile,0.95,3.237816580780476,2024,8
1,02,quantile,0.975,2.8366603887167847,2024,8
2,02,quantile,0.975,3.1255985351105475,2024,8
3,02,quantile,0.975,3.433698290028824,2024,8
4,02,quantile,0.975,3.543066903082726,2024,8
1,02,quantile,0.99,2.920578676997549,2024,8
2,02,quantile,0.99,3.30254172481278,2024,8
3,02,quantile,0.99,3.7141048760612874,2024,8
4,02,quantile,0.99,3.924299526363016,2024,8
1,07,quantile,0.01,4.809790222667704,2024,8
2,07,quantile,0.01,3.743631908186221,2024,8
3,07,quantile,0.01,2.944937427383249,2024,8
4,07,quantile,0.01,2.375506710521359,2024,8
1,07,quantile,0.025,4.91239068286836,2024,8
2,07,quantile,0.025,3.92494960326345,2024,8
3,07,quantile,0.025,3.1999130223813936,2024,8
4,07,quantile,0.025,2.661473401777356,2024,8
1,07,quantile,0.05,5.012344560832878,2024,8
2,07,quantile,0.05,4.101560619918622,2024,8
3,07,quantile,0.05,3.423071997849781,2024,8
4,07,quantile,0.05,2.929229297949299,2024,8
1,07,quantile,0.1,5.125891544282484,2024,8
2,07,quantile,0.1,4.305158086186802,2024,8
3,07,quantile,0.1,3.69884757401712,2024,8
4,07,quantile,0.1,3.2641298666052028,2024,8
1,07,quantile,0.15,5.206765041137706,2024,8
2,07,quantile,0.15,4.448852893031801,2024,8
3,07,quantile,0.15,3.897575605170757,2024,8
4,07,quantile,0.15,3.497111681281424,2024,8
1,07,quantile,0.2,5.274949323383301,2024,8
2,07,quantile,0.2,4.569280763215764,2024,8
3,07,quantile,0.2,4.053231251732451,2024,8
4,07,quantile,0.2,3.682581853690317,2024,8
1,07,quantile,0.25,5.333947687768894,2024,8
2,07,quantile,0.25,4.672989864138161,2024,8
3,07,quantile,0.25,4.189802920163606,2024,8
4,07,quantile,0.25,3.845778127728929,2024,8
1,07,quantile,0.3,5.388790644367901,2024,8
2,07,quantile,0.3,4.769264768288701,2024,8
3,07,quantile,0.3,4.31976773269545,2024,8
4,07,quantile,0.3,3.996355365102991,2024,8
1,07,quantile,0.35,5.440815615000894,2024,8
2,07,quantile,0.35,4.860238753960467,2024,8
3,07,quantile,0.35,4.439257183078243,2024,8
4,07,quantile,0.35,4.140983784502247,2024,8
1,07,quantile,0.4,5.491936463732734,2024,8
2,07,quantile,0.4,4.947942264106292,2024,8
3,07,quantile,0.4,4.55359074507917,2024,8
4,07,quantile,0.4,4.278808796299974,2024,8
1,07,quantile,0.45,5.538940370484204,2024,8
2,07,quantile,0.45,5.030675053037069,2024,8
3,07,quantile,0.45,4.664867580140247,2024,8
4,07,quantile,0.45,4.404982898372998,2024,8
1,07,quantile,0.5,5.586967904107475,2024,8
2,07,quantile,0.5,5.11550358661034,2024,8
3,07,quantile,0.5,4.775004459284181,2024,8
4,07,quantile,0.5,4.536739640993769,2024,8
1,07,quantile,0.55,5.634456902409964,2024,8
2,07,quantile,0.55,5.19850846253988,2024,8
3,07,quantile,0.55,4.886389568549036,2024,8
4,07,quantile,0.55,4.661782531986827,2024,8
1,07,quantile,0.6,5.68309274585449,2024,8
2,07,quantile,0.6,5.28330793552398,2024,8
3,07,quantile,0.6,4.995763112509252,2024,8
4,07,quantile,0.6,4.789064021868727,2024,8
1,07,quantile,0.65,5.732650208637959,2024,8
2,07,quantile,0.65,5.370009530452748,2024,8
3,07,quantile,0.65,5.108942233129998,2024,8
4,07,quantile,0.65,4.9182837488658615,2024,8
1,07,quantile,0.7,5.783084064801642,2024,8
2,07,quantile,0.7,5.459368604900116,2024,8
3,07,quantile,0.7,5.222887768062564,2024,8
4,07,quantile,0.7,5.046937761635023,2024,8
1,07,quantile,0.75,5.838720422863266,2024,8
2,07,quantile,0.75,5.551585247812563,2024,8
3,07,quantile,0.75,5.340869974515722,2024,8
4,07,quantile,0.75,5.183823873689075,2024,8
1,07,quantile,0.8,5.8974833243442015,2024,8
2,07,quantile,0.8,5.650997200135574,2024,8
3,07,quantile,0.8,5.465113681128969,2024,8
4,07,quantile,0.8,5.318561202139192,2024,8
1,07,quantile,0.85,5.966727663365168,2024,8
2,07,quantile,0.85,5.760202796747737,2024,8
3,07,quantile,0.85,5.596486014371336,2024,8
4,07,quantile,0.85,5.469280757954343,2024,8
1,07,quantile,0.9,6.054564765279633,2024,8
2,07,quantile,0.9,5.889404430155466,2024,8
3,07,quantile,0.9,5.747781450553691,2024,8
4,07,quantile,0.9,5.628331944197972,2024,8
1,07,quantile,0.95,6.211085682210851,2024,8
2,07,quantile,0.95,6.080984504994482,2024,8
3,07,quantile,0.95,5.934941247886775,2024,8
4,07,quantile,0.95,5.819482209197434,2024,8
1,07,quantile,0.975,6.307089310532203,2024,8
2,07,quantile,0.975,6.269834550928559,2024,8
3,07,quantile,0.975,6.116701800724363,2024,8
4,07,quantile,0.975,5.95596446049091,2024,8
1,07,quantile,0.99,6.400576391417284,2024,8
2,07,quantile,0.99,6.447777224339049,2024,8
3,07,quantile,0.99,6.3687849334322095,2024,8
4,07,quantile,0.99,6.181310536291354,2024,8
1,IT,quantile,0.01,5.102686900446945,2024,8
2,IT,quantile,0.01,3.90110084737336,2024,8
3,IT,quantile,0.01,3.013094217244891,2024,8
4,IT,quantile,0.01,2.356787909331917,2024,8
1,IT,quantile,0.025,5.206934067793529,2024,8
2,IT,quantile,0.025,4.076345934919886,2024,8
3,IT,quantile,0.025,3.232481996510152,2024,8
4,IT,quantile,0.025,2.6133155915229067,2024,8
1,IT,quantile,0.05,5.303539739338101,2024,8
2,IT,quantile,0.05,4.251306675778231,2024,8
3,IT,quantile,0.05,3.4635533162725483,2024,8
4,IT,quantile,0.05,2.882903843061597,2024,8
1,IT,quantile,0.1,5.427347564590417,2024,8
2,IT,quantile,0.1,4.4648859519075765,2024,8
3,IT,quantile,0.1,3.7510237770984114,2024,8
4,IT,quantile,0.1,3.225161508404285,2024,8
1,IT,quantile,0.15,5.517993857463166,2024,8
2,IT,quantile,0.15,4.623055251523028,2024,8
3,IT,quantile,0.15,3.954539607477628,2024,8
4,IT,quantile,0.15,3.464978185432181,2024,8
1,IT,quantile,0.2,5.594436814096407,2024,8
2,IT,quantile,0.2,4.754629542517928,2024,8
3,IT,quantile,0.2,4.128700269092798,2024,8
4,IT,quantile,0.2,3.665808661321896,2024,8
1,IT,quantile,0.25,5.662543517837199,2024,8
2,IT,quantile,0.25,4.871962358320578,2024,8
3,IT,quantile,0.25,4.278039825493188,2024,8
4,IT,quantile,0.25,3.842149946411761,2024,8
1,IT,quantile,0.3,5.724418617846977,2024,8
2,IT,quantile,0.3,4.977606217041655,2024,8
3,IT,quantile,0.3,4.419121373306978,2024,8
4,IT,quantile,0.3,4.008706432201192,2024,8
1,IT,quantile,0.35,5.782823142701602,2024,8
2,IT,quantile,0.35,5.0776883310527845,2024,8
3,IT,quantile,0.35,4.549771948311403,2024,8
4,IT,quantile,0.35,4.165726880696598,2024,8
1,IT,quantile,0.4,5.835738867085706,2024,8
2,IT,quantile,0.4,5.17325027470985,2024,8
3,IT,quantile,0.4,4.67479915820632,2024,8
4,IT,quantile,0.4,4.313650042014336,2024,8
1,IT,quantile,0.45,5.887938670709046,2024,8
2,IT,quantile,0.45,5.262821260616747,2024,8
3,IT,quantile,0.45,4.7991333504993845,2024,8
4,IT,quantile,0.45,4.460509335574316,2024,8
1,IT,quantile,0.5,5.937984526731816,2024,8
2,IT,quantile,0.5,5.355220162444684,2024,8
3,IT,quantile,0.5,4.920023571396268,2024,8
4,IT,quantile,0.5,4.599573942500138,2024,8
1,IT,quantile,0.55,5.987804189622042,2024,8
2,IT,quantile,0.55,5.444226619456365,2024,8
3,IT,quantile,0.55,5.038196736300581,2024,8
4,IT,quantile,0.55,4.739712496712839,2024,8
1,IT,quantile,0.6,6.038099499299394,2024,8
2,IT,quantile,0.6,5.530506857455841,2024,8
3,IT,quantile,0.6,5.153399882941654,2024,8
4,IT,quantile,0.6,4.878162854377579,2024,8
1,IT,quantile,0.65,6.089895635890248,2024,8
2,IT,quantile,0.65,5.621748718504223,2024,8
3,IT,quantile,0.65,5.270569689153287,2024,8
4,IT,quantile,0.65,5.013697354583793,2024,8
1,IT,quantile,0.7,6.141000161763508,2024,8
2,IT,quantile,0.7,5.710550529247049,2024,8
3,IT,quantile,0.7,5.389351792857616,2024,8
4,IT,quantile,0.7,5.153895249454665,2024,8
1,IT,quantile,0.75,6.194719582207526,2024,8
2,IT,quantile,0.75,5.8024348839773845,2024,8
3,IT,quantile,0.75,5.511391735210843,2024,8
4,IT,quantile,0.75,5.302828005163036,2024,8
1,IT,quantile,0.8,6.249298060569308,2024,8
2,IT,quantile,0.8,5.901509549152509,2024,8
3,IT,quantile,0.8,5.641490353679103,2024,8
4,IT,quantile,0.8,5.455318124372213,2024,8
1,IT,quantile,0.85,6.311469466255542,2024,8
2,IT,quantile,0.85,6.008396047471675,2024,8
3,IT,quantile,0.85,5.783082132820284,2024,8
4,IT,quantile,0.85,5.621470019445389,2024,8
1,IT,quantile,0.9,6.390025747125245,2024,8
2,IT,quantile,0.9,6.138840782940779,2024,8
3,IT,quantile,0.9,5.946177775994665,2024,8
4,IT,quantile,0.9,5.807473552898704,2024,8
1,IT,quantile,0.95,6.514619842583928,2024,8
2,IT,quantile,0.95,6.319346805661599,2024,8
3,IT,quantile,0.95,6.167796625871861,2024,8
4,IT,quantile,0.95,6.044845555363549,2024,8
1,IT,quantile,0.975,6.692038391081428,2024,8
2,IT,quantile,0.975,6.53628280642167,2024,8
3,IT,quantile,0.975,6.34439367861906,2024,8
4,IT,quantile,0.975,6.204538224510511,2024,8
1,IT,quantile,0.99,6.833069294417945,2024,8
2,IT,quantile,0.99,6.81956923121627,2024,8
3,IT,quantile,0.99,6.649687059849367,2024,8
4,IT,quantile,0.99,6.38957421299113,2024,8
1,18,quantile,0.01,5.044535983049169,2024,8
