anno,settimana,incidenza,numero_casi,numero_assistiti,target
2005,42,0.26,276,1070858,ILI
2005,43,0.28,311,1110383,ILI
2005,44,0.31,361,1166611,ILI
2005,45,0.37,431,1170176,ILI
2005,46,0.48,567,1169337,ILI
2005,47,0.65,786,1205935,ILI
2005,48,0.73,869,1193932,ILI
2005,49,0.72,884,1219439,ILI
2005,50,0.91,1102,1213338,ILI
2005,51,1.03,1229,1198878,ILI
2005,52,1.19,1398,1173595,ILI
2006,1,1.28,1529,1195086,ILI
2006,2,1.56,1892,1214098,ILI
2006,3,1.83,2230,1218285,ILI
2006,4,2.05,2489,1215707,ILI
2006,5,2.3,2773,1207067,ILI
2006,6,2.45,2970,1212493,ILI
