anno,settimana,incidenza,numero_casi,numero_assistiti,target
2013,43,0.0,0.0,0.0,ILI
2013,44,1.45,44.0,30369.0,ILI
2013,45,1.04,32.0,30660.0,ILI
2013,46,1.18,48.0,40532.0,ILI
2013,47,2.76,94.0,34110.0,ILI
2013,48,3.01,80.0,26608.0,ILI
2013,49,2.5,70.0,28005.0,ILI
2013,50,2.14,70.0,32742.0,ILI
2013,52,1.26,55.0,43822.0,ILI
2014,1,1.72,50.0,29060.0,ILI
2014,2,4.06,153.0,37661.0,ILI
2014,4,6.13,276.0,45045.0,ILI
2014,5,8.54,344.0,40296.0,ILI
2014,6,7.82,329.0,42095.0,ILI
2014,7,6.91,341.0,49363.0,ILI
