team_name,model_name,horizon,start_date,end_date,location_id,target,p_baseline,p_low,p_medium,p_high,p_very_high,influmeter_index
Influcast,Ensemble,1,2026-03-02,2026-03-08,13,ARI,79.52,20.48,0.0,0.0,0.0,16.3
Influcast,Ensemble,2,2026-03-09,2026-03-15,13,ARI,91.19,8.81,0.0,0.0,0.0,13.58
Influcast,Ensemble,3,2026-03-16,2026-03-22,13,ARI,96.77,3.23,0.0,0.0,0.0,11.51
Influcast,Ensemble,4,2026-03-23,2026-03-29,13,ARI,99.79,0.21,0.0,0.0,0.0,9.75
Influcast,Ensemble,1,2026-03-02,2026-03-08,14,ARI,85.51,14.49,0.0,0.0,0.0,14.01
Influcast,Ensemble,2,2026-03-09,2026-03-15,14,ARI,91.6,8.4,0.0,0.0,0.0,11.87
Influcast,Ensemble,3,2026-03-16,2026-03-22,14,ARI,94.4,5.6,0.0,0.0,0.0,10.16
Influcast,Ensemble,4,2026-03-23,2026-03-29,14,ARI,97.37,2.63,0.0,0.0,0.0,8.8
Influcast,Ensemble,1,2026-03-02,2026-03-08,15,ARI,68.67,31.33,0.0,0.0,0.0,17.48
Influcast,Ensemble,2,2026-03-09,2026-03-15,15,ARI,84.14,15.86,0.0,0.0,0.0,14.08
Influcast,Ensemble,3,2026-03-16,2026-03-22,15,ARI,91.88,8.12,0.0,0.0,0.0,11.5
Influcast,Ensemble,4,2026-03-23,2026-03-29,15,ARI,96.54,3.46,0.0,0.0,0.0,9.42
Influcast,Ensemble,1,2026-03-02,2026-03-08,16,ARI,100.0,0.0,0.0,0.0,0.0,15.76
Influcast,Ensemble,2,2026-03-09,2026-03-15,16,ARI,100.0,0.0,0.0,0.0,0.0,13.87
Influcast,Ensemble,3,2026-03-16,2026-03-22,16,ARI,100.0,0.0,0.0,0.0,0.0,12.39
Influcast,Ensemble,4,2026-03-23,2026-03-29,16,ARI,100.0,0.0,0.0,0.0,0.0,11.08
Influcast,Ensemble,1,2026-03-02,2026-03-08,17,ARI,81.21,18.79,0.0,0.0,0.0,15.52
Influcast,Ensemble,2,2026-03-09,2026-03-15,17,ARI,87.2,12.8,0.0,0.0,0.0,13.13
Influcast,Ensemble,3,2026-03-16,2026-03-22,17,ARI,92.62,7.38,0.0,0.0,0.0,11.18
Influcast,Ensemble,4,2026-03-23,2026-03-29,17,ARI,96.65,3.35,0.0,0.0,0.0,9.53
Influcast,Ensemble,1,2026-03-02,2026-03-08,18,ARI,84.26,15.74,0.0,0.0,0.0,14.09
Influcast,Ensemble,2,2026-03-09,2026-03-15,18,ARI,90.53,9.47,0.0,0.0,0.0,11.91
Influcast,Ensemble,3,2026-03-16,2026-03-22,18,ARI,94.92,5.08,0.0,0.0,0.0,10.22
Influcast,Ensemble,4,2026-03-23,2026-03-29,18,ARI,97.53,2.47,0.0,0.0,0.0,8.81
Influcast,Ensemble,1,2026-03-02,2026-03-08,19,ARI,83.73,16.27,0.0,0.0,0.0,15.74
Influcast,Ensemble,2,2026-03-09,2026-03-15,19,ARI,92.03,7.97,0.0,0.0,0.0,13.31
Influcast,Ensemble,3,2026-03-16,2026-03-22,19,ARI,96.76,3.24,0.0,0.0,0.0,11.36
Influcast,Ensemble,4,2026-03-23,2026-03-29,19,ARI,99.2,0.8,0.0,0.0,0.0,9.74
Influcast,Ensemble,1,2026-03-02,2026-03-08,20,ARI,82.61,17.39,0.0,0.0,0.0,15.52
Influcast,Ensemble,2,2026-03-09,2026-03-15,20,ARI,94.17,5.83,0.0,0.0,0.0,13.19
Influcast,Ensemble,3,2026-03-16,2026-03-22,20,ARI,99.23,0.77,0.0,0.0,0.0,11.27
Influcast,Ensemble,4,2026-03-23,2026-03-29,20,ARI,100.0,0.0,0.0,0.0,0.0,9.72
Influcast,Ensemble,1,2026-03-02,2026-03-08,21,ARI,92.9,7.1,0.0,0.0,0.0,12.45
Influcast,Ensemble,2,2026-03-09,2026-03-15,21,ARI,96.02,3.98,0.0,0.0,0.0,10.66
Influcast,Ensemble,3,2026-03-16,2026-03-22,21,ARI,98.22,1.78,0.0,0.0,0.0,9.24
Influcast,Ensemble,4,2026-03-23,2026-03-29,21,ARI,99.17,0.83,0.0,0.0,0.0,8.11
Influcast,Ensemble,1,2026-03-02,2026-03-08,IT,ARI,92.57,7.43,0.0,0.0,0.0,17.79
Influcast,Ensemble,2,2026-03-09,2026-03-15,IT,ARI,95.27,4.73,0.0,0.0,0.0,16.06
Influcast,Ensemble,3,2026-03-16,2026-03-22,IT,ARI,95.96,4.04,0.0,0.0,0.0,14.78
Influcast,Ensemble,4,2026-03-23,2026-03-29,IT,ARI,95.21,4.79,0.0,0.0,0.0,13.94
