model_name,team_name,orizzonte,data_inizio,data_fine,luogo,target,p_baseline,p_low,p_medium,p_high,p_very_high,influmeter_index
Ensemble,Influcast,1,2026-02-23,2026-03-01,13,ARI,81.78,18.22,0.0,0.0,0.0,16.37
Ensemble,Influcast,2,2026-03-02,2026-03-08,13,ARI,91.43,8.57,0.0,0.0,0.0,14.29
Ensemble,Influcast,3,2026-03-09,2026-03-15,13,ARI,97.33,2.67,0.0,0.0,0.0,12.56
Ensemble,Influcast,4,2026-03-16,2026-03-22,13,ARI,99.43,0.57,0.0,0.0,0.0,11.14
Ensemble,Influcast,1,2026-02-23,2026-03-01,14,ARI,87.12,12.88,0.0,0.0,0.0,15.85
Ensemble,Influcast,2,2026-03-02,2026-03-08,14,ARI,94.1,5.9,0.0,0.0,0.0,13.96
Ensemble,Influcast,3,2026-03-09,2026-03-15,14,ARI,98.03,1.97,0.0,0.0,0.0,12.49
Ensemble,Influcast,4,2026-03-16,2026-03-22,14,ARI,99.51,0.49,0.0,0.0,0.0,11.32
Ensemble,Influcast,1,2026-02-23,2026-03-01,15,ARI,54.58,45.42,0.0,0.0,0.0,19.56
Ensemble,Influcast,2,2026-03-02,2026-03-08,15,ARI,82.68,17.32,0.0,0.0,0.0,16.24
Ensemble,Influcast,3,2026-03-09,2026-03-15,15,ARI,93.49,6.51,0.0,0.0,0.0,13.84
Ensemble,Influcast,4,2026-03-16,2026-03-22,15,ARI,97.99,2.01,0.0,0.0,0.0,11.98
Ensemble,Influcast,1,2026-02-23,2026-03-01,16,ARI,100.0,0.0,0.0,0.0,0.0,14.0
Ensemble,Influcast,2,2026-03-02,2026-03-08,16,ARI,100.0,0.0,0.0,0.0,0.0,12.5
Ensemble,Influcast,3,2026-03-09,2026-03-15,16,ARI,100.0,0.0,0.0,0.0,0.0,11.43
Ensemble,Influcast,4,2026-03-16,2026-03-22,16,ARI,100.0,0.0,0.0,0.0,0.0,10.6
Ensemble,Influcast,1,2026-02-23,2026-03-01,17,ARI,82.39,17.61,0.0,0.0,0.0,16.83
Ensemble,Influcast,2,2026-03-02,2026-03-08,17,ARI,90.6,9.4,0.0,0.0,0.0,15.0
Ensemble,Influcast,3,2026-03-09,2026-03-15,17,ARI,95.74,4.26,0.0,0.0,0.0,13.48
Ensemble,Influcast,4,2026-03-16,2026-03-22,17,ARI,97.8,2.2,0.0,0.0,0.0,12.26
Ensemble,Influcast,1,2026-02-23,2026-03-01,18,ARI,83.59,16.41,0.0,0.0,0.0,16.37
Ensemble,Influcast,2,2026-03-02,2026-03-08,18,ARI,92.27,7.73,0.0,0.0,0.0,14.4
Ensemble,Influcast,3,2026-03-09,2026-03-15,18,ARI,96.73,3.27,0.0,0.0,0.0,12.89
Ensemble,Influcast,4,2026-03-16,2026-03-22,18,ARI,99.33,0.67,0.0,0.0,0.0,11.68
Ensemble,Influcast,1,2026-02-23,2026-03-01,19,ARI,83.23,16.77,0.0,0.0,0.0,16.67
Ensemble,Influcast,2,2026-03-02,2026-03-08,19,ARI,94.36,5.64,0.0,0.0,0.0,14.21
Ensemble,Influcast,3,2026-03-09,2026-03-15,19,ARI,98.69,1.31,0.0,0.0,0.0,12.17
Ensemble,Influcast,4,2026-03-16,2026-03-22,19,ARI,100.0,0.0,0.0,0.0,0.0,10.52
Ensemble,Influcast,1,2026-02-23,2026-03-01,20,ARI,91.04,8.96,0.0,0.0,0.0,14.71
Ensemble,Influcast,2,2026-03-02,2026-03-08,20,ARI,94.25,5.75,0.0,0.0,0.0,13.32
Ensemble,Influcast,3,2026-03-09,2026-03-15,20,ARI,96.59,3.41,0.0,0.0,0.0,12.21
Ensemble,Influcast,4,2026-03-16,2026-03-22,20,ARI,97.65,2.35,0.0,0.0,0.0,11.24
Ensemble,Influcast,1,2026-02-23,2026-03-01,21,ARI,94.58,5.42,0.0,0.0,0.0,13.83
Ensemble,Influcast,2,2026-03-02,2026-03-08,21,ARI,97.74,2.26,0.0,0.0,0.0,12.19
Ensemble,Influcast,3,2026-03-09,2026-03-15,21,ARI,98.96,1.04,0.0,0.0,0.0,10.92
Ensemble,Influcast,4,2026-03-16,2026-03-22,21,ARI,100.0,0.0,0.0,0.0,0.0,9.94
Ensemble,Influcast,1,2026-02-23,2026-03-01,IT,ARI,84.69,15.31,0.0,0.0,0.0,18.59
Ensemble,Influcast,2,2026-03-02,2026-03-08,IT,ARI,93.13,6.87,0.0,0.0,0.0,16.57
Ensemble,Influcast,3,2026-03-09,2026-03-15,IT,ARI,94.42,5.58,0.0,0.0,0.0,15.01
Ensemble,Influcast,4,2026-03-16,2026-03-22,IT,ARI,94.43,5.57,0.0,0.0,0.0,13.99
