anno,settimana,luogo,tipo_valore,id_valore,orizzonte,target,valore
2025,2,01,quantile,0.7,3,ILI,17.52912113100486
2025,2,01,quantile,0.7,4,ILI,16.13601925843746
2025,2,01,quantile,0.75,-1,ILI,15.693402356626848
2025,2,01,quantile,0.75,0,ILI,16.890332966182314
2025,2,01,quantile,0.75,1,ILI,18.602357732745553
2025,2,01,quantile,0.75,2,ILI,18.596229089784305
2025,2,01,quantile,0.75,3,ILI,17.91807304686196
2025,2,01,quantile,0.75,4,ILI,16.627010349487083
2025,2,01,quantile,0.8,-1,ILI,15.942042661615783
2025,2,01,quantile,0.8,0,ILI,17.162579316925072
2025,2,01,quantile,0.8,1,ILI,18.820584360172067
2025,2,01,quantile,0.8,2,ILI,18.91485540789829
2025,2,01,quantile,0.8,3,ILI,18.310058017245673
2025,2,01,quantile,0.8,4,ILI,17.082424271832593
2025,2,01,quantile,0.85,-1,ILI,16.295073867177635
2025,2,01,quantile,0.85,0,ILI,17.444228887359166
2025,2,01,quantile,0.85,1,ILI,19.04952823715425
2025,2,01,quantile,0.85,2,ILI,19.252357945117737
2025,2,01,quantile,0.85,3,ILI,18.728643088934906
2025,2,01,quantile,0.85,4,ILI,17.578393142092388
2025,2,01,quantile,0.9,-1,ILI,16.686926570599002
2025,2,01,quantile,0.9,0,ILI,17.88201090171313
2025,2,01,quantile,0.9,1,ILI,19.36376929939255
2025,2,01,quantile,0.9,2,ILI,19.724583799875248
2025,2,01,quantile,0.9,3,ILI,19.295454270055004
2025,2,01,quantile,0.9,4,ILI,18.251696283045472
2025,2,01,quantile,0.95,-1,ILI,17.344583585777457
2025,2,01,quantile,0.95,0,ILI,18.562366468197965
2025,2,01,quantile,0.95,1,ILI,19.866518278744024
2025,2,01,quantile,0.95,2,ILI,20.274667009348512
2025,2,01,quantile,0.95,3,ILI,20.108438220575337
2025,2,01,quantile,0.95,4,ILI,19.149228951698326
2025,2,01,quantile,0.975,-1,ILI,17.729547838886475
2025,2,01,quantile,0.975,0,ILI,18.957672914843222
2025,2,01,quantile,0.975,1,ILI,20.20348346848096
2025,2,01,quantile,0.975,2,ILI,20.958246229281507
2025,2,01,quantile,0.975,3,ILI,20.822986785874257
2025,2,01,quantile,0.975,4,ILI,19.807972194523423
2025,2,01,quantile,0.99,-1,ILI,18.315849438296404
2025,2,01,quantile,0.99,0,ILI,19.512084934992394
2025,2,01,quantile,0.99,1,ILI,20.615124150763407
2025,2,01,quantile,0.99,2,ILI,21.45266952128576
2025,2,01,quantile,0.99,3,ILI,21.42064723617915
2025,2,01,quantile,0.99,4,ILI,20.57255834521952
2025,2,02,quantile,0.01,-1,ILI,8.191569678997078
2025,2,02,quantile,0.01,0,ILI,11.318310161760726
2025,2,02,quantile,0.01,1,ILI,19.064863733946925
2025,2,02,quantile,0.01,2,ILI,15.989289262555054
2025,2,02,quantile,0.01,3,ILI,12.372095149553795
2025,2,02,quantile,0.01,4,ILI,8.759900723221158
2025,2,02,quantile,0.025,-1,ILI,8.883787003348445
2025,2,02,quantile,0.025,0,ILI,12.203681149873253
2025,2,02,quantile,0.025,1,ILI,19.660644301850933
2025,2,02,quantile,0.025,2,ILI,16.794388054580132
2025,2,02,quantile,0.025,3,ILI,13.006284735078761
2025,2,02,quantile,0.025,4,ILI,9.355951767659684
2025,2,02,quantile,0.05,-1,ILI,9.606931470883264
2025,2,02,quantile,0.05,0,ILI,12.968844663759363
2025,2,02,quantile,0.05,1,ILI,20.383694411645592
2025,2,02,quantile,0.05,2,ILI,17.500787045546286
2025,2,02,quantile,0.05,3,ILI,13.706166496224446
2025,2,02,quantile,0.05,4,ILI,9.837055303029924
2025,2,02,quantile,0.1,-1,ILI,10.678427874041105
2025,2,02,quantile,0.1,0,ILI,14.04966022958928
2025,2,02,quantile,0.1,1,ILI,21.24279093796807
2025,2,02,quantile,0.1,2,ILI,18.494297376439036
2025,2,02,quantile,0.1,3,ILI,14.553971588322993
2025,2,02,quantile,0.1,4,ILI,10.520269391274695
2025,2,02,quantile,0.15,-1,ILI,11.489277219289114
2025,2,02,quantile,0.15,0,ILI,15.15756788147365
2025,2,02,quantile,0.15,1,ILI,21.810740431133105
2025,2,02,quantile,0.15,2,ILI,19.317789678451955
2025,2,02,quantile,0.15,3,ILI,15.4860812810949
2025,2,02,quantile,0.15,4,ILI,11.410491125850335
2025,2,02,quantile,0.2,-1,ILI,12.269872345385497
2025,2,02,quantile,0.2,0,ILI,15.83311006568642
2025,2,02,quantile,0.2,1,ILI,22.37289221442309
2025,2,02,quantile,0.2,2,ILI,19.98552401104135
2025,2,02,quantile,0.2,3,ILI,16.221629348794217
2025,2,02,quantile,0.2,4,ILI,12.049237245850918
2025,2,02,quantile,0.25,-1,ILI,12.982967726301972
2025,2,02,quantile,0.25,0,ILI,16.42426464475132
2025,2,02,quantile,0.25,1,ILI,22.820277685462315
2025,2,02,quantile,0.25,2,ILI,20.58258768317838
2025,2,02,quantile,0.25,3,ILI,16.847730118424263
2025,2,02,quantile,0.25,4,ILI,12.667902206805252
2025,2,02,quantile,0.3,-1,ILI,13.524498997050838
