anno,settimana,luogo,tipo_valore,id_valore,orizzonte,target,valore
2025,45,01,quantile,0.01,-1,ARI,4.203607089446732
2025,45,01,quantile,0.01,0,ARI,4.428123973127835
2025,45,01,quantile,0.01,1,ARI,5.25238140736706
2025,45,01,quantile,0.01,2,ARI,4.464978704874797
2025,45,01,quantile,0.01,3,ARI,4.004662797325124
2025,45,01,quantile,0.01,4,ARI,3.71830310611036
2025,45,01,quantile,0.025,-1,ARI,4.319124643997508
2025,45,01,quantile,0.025,0,ARI,4.560085314277721
2025,45,01,quantile,0.025,1,ARI,5.410390346360612
2025,45,01,quantile,0.025,2,ARI,4.6860856554964325
2025,45,01,quantile,0.025,3,ARI,4.226061919348791
2025,45,01,quantile,0.025,4,ARI,3.8829145231557565
2025,45,01,quantile,0.05,-1,ARI,4.511532426499155
2025,45,01,quantile,0.05,0,ARI,4.726102327927982
2025,45,01,quantile,0.05,1,ARI,5.588749015302589
2025,45,01,quantile,0.05,2,ARI,4.901129440898421
2025,45,01,quantile,0.05,3,ARI,4.3987720298243
2025,45,01,quantile,0.05,4,ARI,4.076089504427251
2025,45,01,quantile,0.1,-1,ARI,4.6858978275568495
2025,45,01,quantile,0.1,0,ARI,5.061064983459853
2025,45,01,quantile,0.1,1,ARI,5.967401509850757
2025,45,01,quantile,0.1,2,ARI,5.365138284033026
2025,45,01,quantile,0.1,3,ARI,4.838961384522962
2025,45,01,quantile,0.1,4,ARI,4.50891991744336
2025,45,01,quantile,0.15,-1,ARI,4.890072744809278
2025,45,01,quantile,0.15,0,ARI,5.185251013152518
2025,45,01,quantile,0.15,1,ARI,6.098392565994024
2025,45,01,quantile,0.15,2,ARI,5.581647847553526
2025,45,01,quantile,0.15,3,ARI,5.247434845501336
2025,45,01,quantile,0.15,4,ARI,5.05577585446116
2025,45,01,quantile,0.2,-1,ARI,5.203982653666446
2025,45,01,quantile,0.2,0,ARI,5.539720278388257
2025,45,01,quantile,0.2,1,ARI,6.298500361502319
2025,45,01,quantile,0.2,2,ARI,5.8088086013537685
2025,45,01,quantile,0.2,3,ARI,5.55309031467178
2025,45,01,quantile,0.2,4,ARI,5.383377763554852
2025,45,01,quantile,0.25,-1,ARI,5.332848401822798
2025,45,01,quantile,0.25,0,ARI,5.649888913037868
2025,45,01,quantile,0.25,1,ARI,6.437881693020358
2025,45,01,quantile,0.25,2,ARI,6.0053967915027435
2025,45,01,quantile,0.25,3,ARI,5.71222650829711
2025,45,01,quantile,0.25,4,ARI,5.5730161768152175
2025,45,01,quantile,0.3,-1,ARI,5.394274412506324
2025,45,01,quantile,0.3,0,ARI,5.808393511632373
2025,45,01,quantile,0.3,1,ARI,6.637919452541781
2025,45,01,quantile,0.3,2,ARI,6.287576994117339
2025,45,01,quantile,0.3,3,ARI,6.066031754444204
2025,45,01,quantile,0.3,4,ARI,5.89965591698626
2025,45,01,quantile,0.35,-1,ARI,5.50070849915619
2025,45,01,quantile,0.35,0,ARI,5.919668910631634
2025,45,01,quantile,0.35,1,ARI,6.746216607480551
2025,45,01,quantile,0.35,2,ARI,6.44154382029099
2025,45,01,quantile,0.35,3,ARI,6.347268163004666
2025,45,01,quantile,0.35,4,ARI,6.286519480301515
2025,45,01,quantile,0.4,-1,ARI,5.779704162572715
2025,45,01,quantile,0.4,0,ARI,6.063985420938588
2025,45,01,quantile,0.4,1,ARI,6.898181867312162
2025,45,01,quantile,0.4,2,ARI,6.721240938347975
2025,45,01,quantile,0.4,3,ARI,6.64185661945619
2025,45,01,quantile,0.4,4,ARI,6.6653402918821705
2025,45,01,quantile,0.45,-1,ARI,5.997017005586199
2025,45,01,quantile,0.45,0,ARI,6.105323384710398
2025,45,01,quantile,0.45,1,ARI,7.086403776922445
2025,45,01,quantile,0.45,2,ARI,6.9330742546342154
2025,45,01,quantile,0.45,3,ARI,6.908538508985473
2025,45,01,quantile,0.45,4,ARI,6.944143364911849
2025,45,01,quantile,0.5,-1,ARI,6.295280334035223
2025,45,01,quantile,0.5,0,ARI,6.550909774331727
2025,45,01,quantile,0.5,1,ARI,7.429450967835397
2025,45,01,quantile,0.5,2,ARI,7.521985711190996
2025,45,01,quantile,0.5,3,ARI,7.4630916645218495
2025,45,01,quantile,0.5,4,ARI,7.44488362143321
2025,45,01,quantile,0.55,-1,ARI,6.690373863368986
2025,45,01,quantile,0.55,0,ARI,7.0321740177083925
2025,45,01,quantile,0.55,1,ARI,7.881092661569555
2025,45,01,quantile,0.55,2,ARI,8.1034609350938
2025,45,01,quantile,0.55,3,ARI,8.233404144562392
2025,45,01,quantile,0.55,4,ARI,8.310156499341737
2025,45,01,quantile,0.6,-1,ARI,7.402912641672479
2025,45,01,quantile,0.6,0,ARI,7.812022441121544
2025,45,01,quantile,0.6,1,ARI,8.452269743992673
2025,45,01,quantile,0.6,2,ARI,8.953567633930781
2025,45,01,quantile,0.6,3,ARI,9.432131593957436
2025,45,01,quantile,0.6,4,ARI,9.812209466732929
2025,45,01,quantile,0.65,-1,ARI,7.943187124180428
2025,45,01,quantile,0.65,0,ARI,8.300851412306312
2025,45,01,quantile,0.65,1,ARI,8.743159095776338
2025,45,01,quantile,0.65,2,ARI,9.40058783420629
2025,45,01,quantile,0.65,3,ARI,9.912373018939087
2025,45,01,quantile,0.65,4,ARI,10.547604765138153
2025,45,01,quantile,0.7,-1,ARI,9.231064133556913
2025,45,01,quantile,0.7,0,ARI,9.4851398380114
2025,45,01,quantile,0.7,1,ARI,9.285568030788058
2025,45,01,quantile,0.7,2,ARI,9.78816320851168
2025,45,01,quantile,0.7,3,ARI,10.53044604461643
2025,45,01,quantile,0.7,4,ARI,11.29619407602532
2025,45,01,quantile,0.75,-1,ARI,9.740289952245726
2025,45,01,quantile,0.75,0,ARI,10.089360382919201
2025,45,01,quantile,0.75,1,ARI,9.582782123257264
2025,45,01,quantile,0.75,2,ARI,10.216056599077367
2025,45,01,quantile,0.75,3,ARI,10.990916051739088
2025,45,01,quantile,0.75,4,ARI,11.762396756760849
2025,45,01,quantile,0.8,-1,ARI,11.915355361395228
2025,45,01,quantile,0.8,0,ARI,10.853745593736257
2025,45,01,quantile,0.8,1,ARI,10.038541038476126
2025,45,01,quantile,0.8,2,ARI,10.623922817931783
2025,45,01,quantile,0.8,3,ARI,11.396735913858047
2025,45,01,quantile,0.8,4,ARI,12.249687147331334
2025,45,01,quantile,0.85,-1,ARI,12.474897981386171
2025,45,01,quantile,0.85,0,ARI,12.07738934751848
2025,45,01,quantile,0.85,1,ARI,10.395323781340654
2025,45,01,quantile,0.85,2,ARI,11.104522051119941
2025,45,01,quantile,0.85,3,ARI,11.811504185239482
2025,45,01,quantile,0.85,4,ARI,12.757231062636446
2025,45,01,quantile,0.9,-1,ARI,12.953267000277519
2025,45,01,quantile,0.9,0,ARI,12.627030834668844
2025,45,01,quantile,0.9,1,ARI,10.720818640371064
2025,45,01,quantile,0.9,2,ARI,11.35908540698257
2025,45,01,quantile,0.9,3,ARI,12.246240076551723
2025,45,01,quantile,0.9,4,ARI,13.532072988411539
2025,45,01,quantile,0.95,-1,ARI,14.703804311209723
2025,45,01,quantile,0.95,0,ARI,13.230119479224282
2025,45,01,quantile,0.95,1,ARI,11.247508138722162
2025,45,01,quantile,0.95,2,ARI,11.908799759200752
2025,45,01,quantile,0.95,3,ARI,13.217880938259375
2025,45,01,quantile,0.95,4,ARI,14.958652243507583
2025,45,01,quantile,0.975,-1,ARI,15.070800236210648
2025,45,01,quantile,0.975,0,ARI,13.924391720598873
2025,45,01,quantile,0.975,1,ARI,11.734735116995441
2025,45,01,quantile,0.975,2,ARI,13.092793128234884
2025,45,01,quantile,0.975,3,ARI,14.554070301521824
2025,45,01,quantile,0.975,4,ARI,16.337756055913708
2025,45,01,quantile,0.99,-1,ARI,16.28707171515319
2025,45,01,quantile,0.99,0,ARI,15.116353824781623
2025,45,01,quantile,0.99,1,ARI,12.262794638366701
2025,45,01,quantile,0.99,2,ARI,13.469304223450159
2025,45,01,quantile,0.99,3,ARI,15.436942403534292
2025,45,01,quantile,0.99,4,ARI,17.838904320834562
2025,45,02,quantile,0.01,-1,ARI,3.903579473369105
2025,45,02,quantile,0.01,0,ARI,3.6536736334646127
2025,45,02,quantile,0.01,1,ARI,3.3197369090237356
2025,45,02,quantile,0.01,2,ARI,2.3770056064272382
2025,45,02,quantile,0.01,3,ARI,1.9627150985596122
2025,45,02,quantile,0.01,4,ARI,1.7793266214316243
2025,45,02,quantile,0.025,-1,ARI,4.013825773634856
2025,45,02,quantile,0.025,0,ARI,3.9392434634836304
2025,45,02,quantile,0.025,1,ARI,3.6408599297894857
2025,45,02,quantile,0.025,2,ARI,2.740878859056399
2025,45,02,quantile,0.025,3,ARI,2.3667805472768846
2025,45,02,quantile,0.025,4,ARI,2.2198443794828813
2025,45,02,quantile,0.05,-1,ARI,4.088418874319774
2025,45,02,quantile,0.05,0,ARI,4.1612266906473945
2025,45,02,quantile,0.05,1,ARI,4.003440046256483
2025,45,02,quantile,0.05,2,ARI,3.313695542203626
2025,45,02,quantile,0.05,3,ARI,2.9765229971162777
2025,45,02,quantile,0.05,4,ARI,2.8433954082447452
2025,45,02,quantile,0.1,-1,ARI,4.25557515386535
2025,45,02,quantile,0.1,0,ARI,4.353863532980679
2025,45,02,quantile,0.1,1,ARI,4.715838455195064
2025,45,02,quantile,0.1,2,ARI,4.151633459293576
