anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,1,3.35,269.0,80350.0,ILI
2012,2,4.79,471.0,98258.0,ILI
2012,3,7.61,744.0,97702.0,ILI
2012,4,10.85,1136.0,104693.0,ILI
2012,5,12.41,1197.0,96474.0,ILI
2012,6,9.69,910.0,93888.0,ILI
2012,7,6.47,517.0,79964.0,ILI
2012,8,5.74,442.0,76990.0,ILI
2012,9,4.9,352.0,71783.0,ILI
2012,10,3.5,262.0,74925.0,ILI
2012,11,2.12,124.0,58406.0,ILI
2012,12,1.13,74.0,65634.0,ILI
2012,13,1.09,72.0,66071.0,ILI
2012,14,0.73,38.0,52363.0,ILI
2012,15,0.64,29.0,45261.0,ILI
2012,16,0.5,21.0,42115.0,ILI
