anno,settimana,incidenza,numero_casi,numero_assistiti
2012,01,2.37,409.0,172450.0
2012,02,3.54,671.0,189595.0
2012,03,5.93,1187.0,200217.0
2012,04,8.44,1702.0,201626.0
2012,05,8.42,1641.0,194992.0
